"","tpr","ppv","detection_prevalance"
" 10",99.8086991542489,0.514149350713341,74.918622846376
" 20",99.3556182037857,0.605779708098651,63.2977671360254
" 30",98.7615787354007,0.686890331435614,55.4895627024715
" 40",98.1977446637133,0.765831944135807,49.4855860340212
" 50",97.6943213854209,0.845752020242961,44.5796812214908
" 55",97.4526782118405,0.886102950533319,42.4443882307089
" 60",97.1304873137334,0.925619422368193,40.4980200201204
" 65",96.7478856222312,0.965031298990981,38.6910722355568
" 70",96.4357631896899,1.00530783222758,37.0211357169252
" 75",96.0833668948852,1.04596525724958,35.4520730628313
" 80",95.7611759967781,1.08714537183092,33.994803208535
" 85",95.4188481675393,1.1280021138881,32.6463729900513
" 90",95.0161095449054,1.16870925555313,31.3762793320098
" 95",94.6234393878373,1.20973866658428,30.1868536796618
"100",94.381796214257,1.25227604577874,29.0869943823827
"105",93.9689891260572,1.29359633086017,28.03473542565
"110",93.5964559001208,1.33529835931822,27.0515261057753
"115",93.2440596053162,1.37816806775212,26.1113708082072
"120",92.9822795006041,1.42200747112101,25.2353302550485
"125",92.6500201369311,1.46591921035988,24.3919299354073
"130",92.2875553765606,1.509146918729,23.60055970229
"135",92.0257752718486,1.55455131465037,22.8462594486676
"140",91.7035843737414,1.59924989069685,22.1299617526407
"145",91.5022150624245,1.64675270079765,21.4444002765094
"150",91.1498187676198,1.69169103700866,20.7943544830389
"155",90.8276278695127,1.73697222692894,20.180679235488
"160",90.4853000402739,1.78246296039192,19.5915230204961
"165",90.1228352799033,1.82736121772363,19.033608171871
"170",89.8509867096255,1.87548731355987,18.4892545631241
"175",89.5992750704793,1.92324732498104,17.9796006311999
"180",89.3475634313331,1.97268386373943,17.4797776267519
"185",89.0253725332259,2.02041436546147,17.0052896607009
"190",88.6528393072896,2.06669279861422,16.5549321530003
"195",88.36085380588,2.11508103874194,16.1229153479429
"200",88.0990737011679,2.16568076627973,15.6995637477361
"210",87.6258558195731,2.26818417561682,14.9095535243486
"220",87.1929118002416,2.37129690225383,14.190768953387
"230",86.6794200563834,2.47597080258382,13.5108029458588
"240",86.2062021747886,2.58142711131613,12.8881127766697
"250",85.6222311719694,2.68493669687115,12.3073109071615
"260",85.1993556182038,2.79472232772429,11.7654441733492
"270",84.786548530004,2.90978324343562,11.2454541674778
"280",84.3133306484092,3.02013906921723,10.7740747950951
"290",83.8300443012485,3.13329093392843,10.325465871333
"300",83.2863471606927,3.24444322420468,9.90704916357459
"325",82.4003221908981,3.54278045929742,8.97625850443227
"350",81.3028594442207,3.83852980743177,8.17431905284259
"375",80.4369714055578,4.1507767444277,7.47888779181437
"400",79.762384212646,4.47836287062947,6.87368346200968
"425",79.0173177607733,4.81218498215665,6.33710133743357
"450",78.4434152235199,5.15827038049775,5.86898598840261
"475",77.7688280306081,5.50742618380429,5.44963670254372
"500",77.1244462343939,5.86070496782733,5.07870376306921
