Risk percentile,TPR (%),PPV (%),Detection prevalance (%),"Risk threshold (/100,000)"
100,100,0.11,100,0
99,100,0.11,99,0
98,100,0.11,98,0
97,100,0.11,97,0
96,99.96,0.12,96,0
95,99.96,0.12,95,0
94,99.96,0.12,94,1
93,99.96,0.12,93,1
92,99.96,0.12,92,1
91,99.96,0.12,91,1
90,99.96,0.12,90,1
89,99.96,0.12,89,1
88,99.96,0.13,88,1
87,99.96,0.13,87,1
86,99.96,0.13,86,2
85,99.89,0.13,85,2
84,99.89,0.13,84,2
83,99.89,0.13,83,2
82,99.89,0.14,82,2
81,99.89,0.14,81,3
80,99.86,0.14,80,3
79,99.86,0.14,79,3
78,99.79,0.14,78,3
77,99.75,0.14,77,4
76,99.72,0.15,76,4
75,99.72,0.15,75,4
74,99.68,0.15,74,5
73,99.68,0.15,73,5
72,99.51,0.15,72,5
71,99.51,0.16,71,6
70,99.44,0.16,70,6
69,99.37,0.16,69,7
68,99.33,0.16,68,7
67,99.23,0.16,67,7
66,99.09,0.17,66,8
65,98.98,0.17,65,8
64,98.88,0.17,64,9
63,98.77,0.17,63,9
62,98.63,0.18,62,10
61,98.53,0.18,61,11
60,98.32,0.18,60,11
59,98.14,0.18,59,12
58,98.07,0.19,58,13
57,97.79,0.19,57,13
56,97.58,0.19,56,14
55,97.4,0.2,55,15
54,97.19,0.2,54,16
53,97.02,0.2,53,17
52,96.67,0.21,52,17
51,96.45,0.21,51,18
50,96.21,0.21,50,19
49,96.07,0.22,49,20
48,95.86,0.22,48,21
47,95.61,0.23,47,23
46,95.44,0.23,46,24
45,95.05,0.23,45,25
44,94.66,0.24,44,26
43,94.52,0.24,43,28
42,94.07,0.25,42,29
41,93.54,0.25,41,30
40,93.33,0.26,40,32
39,93.05,0.26,39,34
38,92.66,0.27,38,35
37,92.31,0.28,37,37
36,91.86,0.28,36,39
35,91.58,0.29,35,41
34,91.15,0.3,34,43
33,90.66,0.3,33,46
32,90.1,0.31,32,48
31,89.51,0.32,31,51
30,88.94,0.33,30,54
29,88.17,0.34,29,57
28,87.29,0.35,28,60
27,86.87,0.36,27,63
26,86.38,0.37,26,67
25,85.64,0.38,25,71
24,84.91,0.39,24,75
23,83.92,0.4,23,79
22,82.87,0.42,22,84
21,82.52,0.44,21,90
20,81.5,0.45,20,95
19,80.48,0.47,19,102
18,79.4,0.49,18,109
17,78.34,0.51,17,116
16,76.87,0.53,16,125
15,75.96,0.56,15,134
14,74.73,0.59,14,145
13,73.22,0.63,13,157
12,71.67,0.66,12,170
11,70.13,0.71,11,186
10,68.55,0.76,10,204
9.9,68.45,0.77,9.9,206
9.8,68.13,0.77,9.8,208
9.7,68.02,0.78,9.7,210
9.6,67.67,0.78,9.6,213
9.5,67.46,0.79,9.5,215
9.4,67.18,0.79,9.4,217
9.3,66.9,0.8,9.3,219
9.2,66.73,0.8,9.2,221
9.1,66.44,0.81,9.1,223
9,66.23,0.82,9,226
8.9,66.13,0.82,8.9,228
8.8,65.99,0.83,8.8,231
8.7,65.74,0.84,8.7,233
8.6,65.53,0.85,8.6,236
8.5,65.39,0.85,8.5,238
8.4,65.25,0.86,8.4,241
8.3,65.04,0.87,8.3,244
8.2,64.94,0.88,8.2,246
8.1,64.79,0.89,8.1,249
8,64.48,0.89,8,252
7.9,64.37,0.9,7.9,255
7.8,64.09,0.91,7.8,258
7.7,63.88,0.92,7.7,261
7.6,63.6,0.93,7.6,264
7.5,63.57,0.94,7.5,267
7.4,63.04,0.95,7.4,270
7.3,62.79,0.95,7.3,274
7.2,62.65,0.97,7.2,277
7.1,62.34,0.97,7.1,280
7,61.92,0.98,7,284
6.9,61.67,0.99,6.9,287
6.8,61.53,1,6.8,291
6.7,61.25,1.01,6.7,295
6.6,60.97,1.03,6.6,298
6.5,60.72,1.04,6.5,302
6.4,60.51,1.05,6.4,306
6.3,60.34,1.06,6.3,311
6.2,60.13,1.08,6.2,315
6.1,59.85,1.09,6.1,319
6,59.56,1.1,6,324
5.9,59.32,1.12,5.9,328
5.8,59.14,1.13,5.8,333
5.7,58.93,1.15,5.7,338
5.6,58.55,1.16,5.6,343
5.5,58.27,1.18,5.5,348
5.4,57.99,1.19,5.4,353
5.3,57.63,1.21,5.3,359
5.2,57.39,1.22,5.2,364
5.1,57.18,1.24,5.1,370
5,56.86,1.26,5,376
4.9,56.65,1.28,4.9,383
4.8,56.34,1.3,4.8,389
4.7,56.05,1.32,4.7,396
4.6,55.63,1.34,4.6,403
4.5,55.35,1.37,4.5,410
4.4,54.97,1.39,4.4,417
4.3,54.72,1.41,4.3,425
4.2,54.3,1.43,4.2,433
4.1,53.77,1.46,4.1,442
4,53.46,1.48,4,450
3.9,53.25,1.52,3.9,459
3.8,52.9,1.54,3.8,469
3.7,52.47,1.57,3.7,478
3.6,52.05,1.6,3.6,488
3.5,51.63,1.64,3.5,499
3.4,51.46,1.68,3.4,511
3.3,51.18,1.72,3.3,523
3.2,50.68,1.76,3.2,535
3.1,50.26,1.8,3.1,548
3,49.84,1.84,3,561
2.9,49.39,1.89,2.9,576
2.8,48.72,1.93,2.8,591
2.7,48.09,1.98,2.7,606
2.6,47.42,2.02,2.6,623
2.5,46.89,2.08,2.5,642
2.4,46.23,2.14,2.4,662
2.3,45.81,2.21,2.3,683
2.2,45.31,2.29,2.2,705
2.1,44.75,2.37,2.1,728
2,44.4,2.46,2,754
1.9,43.66,2.55,1.9,781
1.8,43.35,2.67,1.8,812
1.7,42.79,2.79,1.7,846
1.6,42.01,2.91,1.6,882
1.5,41.1,3.04,1.5,923
1.4,40.44,3.21,1.4,968
1.3,39.91,3.41,1.3,1020
1.2,38.93,3.6,1.2,1078
1.1,38.05,3.84,1.1,1145
1,37,4.11,1,1221
0.99,37,4.15,0.99,1230
0.98,36.78,4.17,0.98,1238
0.97,36.75,4.2,0.97,1246
0.96,36.68,4.24,0.96,1255
0.95,36.54,4.27,0.95,1264
0.94,36.29,4.28,0.94,1274
0.93,36.12,4.31,0.93,1284
0.92,36.01,4.34,0.92,1293
0.91,35.87,4.37,0.91,1302
0.9,35.77,4.41,0.9,1311
0.89,35.63,4.44,0.89,1321
0.88,35.59,4.49,0.88,1330
0.87,35.52,4.53,0.87,1341
0.86,35.49,4.58,0.86,1352
0.85,35.42,4.62,0.85,1362
0.84,35.28,4.66,0.84,1373
0.83,35.21,4.71,0.83,1383
0.82,35.03,4.74,0.82,1394
0.81,34.96,4.79,0.81,1405
0.8,34.82,4.83,0.8,1417
0.79,34.68,4.87,0.79,1429
0.78,34.47,4.9,0.78,1441
