"","category","group","Feature","Gain"
"1","Comorbidities","cd","cd",0.00184525214187167
"2","Comorbidities","cd",NA,0.00184525214187167
"3","Comorbidities","chf","chf",9.71611884499026e-05
"4","Comorbidities","chf",NA,9.71611884499026e-05
"5","Comorbidities","copd","copd",0.0229222983090369
"6","Comorbidities","copd",NA,0.0229222983090369
"7","Comorbidities","ctd","ctd",3.11734591752905e-05
"8","Comorbidities","ctd",NA,3.11734591752905e-05
"9","Comorbidities","dem","dem",0.00142665570737994
"10","Comorbidities","dem",NA,0.00142665570737994
"11","Comorbidities","diab_c","diab_c",0.00145489195592588
"12","Comorbidities","diab_c",NA,0.00145489195592588
"13","Comorbidities","diab_nc","diab_nc",0.00247479282689908
"14","Comorbidities","diab_nc",NA,0.00247479282689908
"15","Comorbidities","gerd","gerd",0.0158728715917418
"16","Comorbidities","gerd",NA,0.0158728715917418
"17","Comorbidities","hiv","hiv",2.08102810527705e-05
"18","Comorbidities","hiv",NA,2.08102810527705e-05
"19","Comorbidities","mi","mi",0.00216430411841278
"20","Comorbidities","mi",NA,0.00216430411841278
"21","Comorbidities","mld","mld",0.000749805503682601
"22","Comorbidities","mld",NA,0.000749805503682601
"23","Comorbidities","para","para",0.000140973578685916
"24","Comorbidities","para",NA,0.000140973578685916
"25","Comorbidities","pud","pud",0.000456424017718261
"26","Comorbidities","pud",NA,0.000456424017718261
"27","Comorbidities","pvd","pvd",0.0106839183765033
"28","Comorbidities","pvd",NA,0.0106839183765033
"29","Comorbidities","rd","rd",0.00198509834020501
"30","Comorbidities","rd",NA,0.00198509834020501
"31","Comorbidities",NA,NA,0.0623264313967411
"32","Demographic","age","age",0.31714799400092
"33","Demographic","age",NA,0.31714799400092
"34","Demographic","agentorange","agentorange",9.19886871957562e-05
"35","Demographic","agentorange",NA,9.19886871957562e-05
"36","Demographic","bmi_weight","bmi",0.00830589152714206
"37","Demographic","bmi_weight","weight",0.0116354387943098
"38","Demographic","bmi_weight",NA,0.0199413303214518
"39","Demographic","gender","gender",0.0354743042530867
"40","Demographic","gender",NA,0.0354743042530867
"41","Demographic","race","asian",0.0015855665698144
"42","Demographic","race","black",0.0340010647429775
"43","Demographic","race","hawaiianpacific",0.00127640292780822
"44","Demographic","race","indianalaskan",0.000918981645795377
"45","Demographic","race",NA,0.0377820158863955
