"","category","group","Gain"
"1","Comorbidities","cd",0.00184525214187167
"2","Comorbidities","chf",9.71611884499026e-05
"3","Comorbidities","copd",0.0229222983090369
"4","Comorbidities","ctd",3.11734591752905e-05
"5","Comorbidities","dem",0.00142665570737994
"6","Comorbidities","diab_c",0.00145489195592588
"7","Comorbidities","diab_nc",0.00247479282689908
"8","Comorbidities","gerd",0.0158728715917418
"9","Comorbidities","hiv",2.08102810527705e-05
"10","Comorbidities","mi",0.00216430411841278
"11","Comorbidities","mld",0.000749805503682601
"12","Comorbidities","para",0.000140973578685916
"13","Comorbidities","pud",0.000456424017718261
"14","Comorbidities","pvd",0.0106839183765033
"15","Comorbidities","rd",0.00198509834020501
"16","Demographic","age",0.31714799400092
"17","Demographic","agentorange",9.19886871957562e-05
"18","Demographic","bmi_weight",0.0199413303214518
"19","Demographic","gender",0.0354743042530867
"20","Demographic","race",0.0377820158863955
"21","Demographic","smoke",0.0122745038040511
"22","Lab","a1c",0.0070269251070364
"23","Lab","alkphos",0.0164950408585903
"24","Lab","alt",0.0208139098167484
"25","Lab","ast",0.0155008950986284
"26","Lab","baso",0.00328303470558793
"27","Lab","bun",0.0259783502558756
"28","Lab","calc",0.0138553023979055
"29","Lab","chlor",0.016709548180874
"30","Lab","co2",0.0207812736593078
"31","Lab","creat",0.019928751288708
"32","Lab","crp",4.12300290960542e-05
"33","Lab","eos",0.0105365613270445
"34","Lab","gluc",0.0292711212573962
"35","Lab","hct",0.0205220438038924
"36","Lab","hdl",0.0189464310983642
"37","Lab","k",0.0222650733090809
"38","Lab","ldl",0.020984287076793
"39","Lab","lymph",0.00957099761805144
"40","Lab","mch",0.0143213070703036
"41","Lab","mchc",0.0122549665596915
"42","Lab","mcv",0.0165824195012388
"43","Lab","mono",0.0136256944253596
"44","Lab","mpv",0.0114149695420287
"45","Lab","na",0.0272349513058855
"46","Lab","neut",0.0138907489806218
"47","Lab","platelet",0.0160687069224927
"48","Lab","totprot",0.0118427103118074
"49","Lab","trig",0.014458479492757
"50","Lab","wbc",0.064500210519939
"51","Medication","h2r",5.78469562378965e-06
"52","Medication","ppi",0.00624970543342755
