"","category","group","Feature","Gain"
"1","Comorbidities","cd","cd",0.000547099526469874
"2","Comorbidities","cd",NA,0.000547099526469874
"3","Comorbidities","chf","chf",0.000843673388491511
"4","Comorbidities","chf",NA,0.000843673388491511
"5","Comorbidities","copd","copd",0.0057087175427791
"6","Comorbidities","copd",NA,0.0057087175427791
"7","Comorbidities","ctd","ctd",6.45639117812437e-05
"8","Comorbidities","ctd",NA,6.45639117812437e-05
"9","Comorbidities","dem","dem",0.000919841737891797
"10","Comorbidities","dem",NA,0.000919841737891797
"11","Comorbidities","diab_c","diab_c",0.000969507991947525
"12","Comorbidities","diab_c",NA,0.000969507991947525
"13","Comorbidities","diab_nc","diab_nc",0.00207493639627327
"14","Comorbidities","diab_nc",NA,0.00207493639627327
"15","Comorbidities","gerd","gerd",0.0188788128369795
"16","Comorbidities","gerd",NA,0.0188788128369795
"17","Comorbidities","mi","mi",0.000375615384285191
"18","Comorbidities","mi",NA,0.000375615384285191
"19","Comorbidities","mld","mld",0.00117399546746184
"20","Comorbidities","mld",NA,0.00117399546746184
"21","Comorbidities","para","para",0.000260676428935882
"22","Comorbidities","para",NA,0.000260676428935882
"23","Comorbidities","pud","pud",0.00151327331936519
"24","Comorbidities","pud",NA,0.00151327331936519
"25","Comorbidities","pvd","pvd",0.00295946919321133
"26","Comorbidities","pvd",NA,0.00295946919321133
"27","Comorbidities","rd","rd",0.00115133986549613
"28","Comorbidities","rd",NA,0.00115133986549613
"29","Comorbidities",NA,NA,0.0374415229913694
"30","Demographic","age","age",0.0661412017742094
"31","Demographic","age",NA,0.0661412017742094
"32","Demographic","agentorange","agentorange",0.000352327348804946
"33","Demographic","agentorange",NA,0.000352327348804946
"34","Demographic","bmi","bmi",0.00571854387182714
"35","Demographic","bmi",NA,0.00571854387182714
"36","Demographic","gender","gender",0.00838091514160697
"37","Demographic","gender",NA,0.00838091514160697
"38","Demographic","race","asian",0.000487384123988558
"39","Demographic","race","black",0.00809335538681415
"40","Demographic","race","hawaiianpacific",0.000361288956679005
"41","Demographic","race","indianalaskan",0.000242047429494482
"42","Demographic","race",NA,0.00918407589697619
"43","Demographic","smoke","smoke_current",0.000820229910619599
"44","Demographic","smoke","smoke_former",0.00109620445030563
"45","Demographic","smoke",NA,0.00191643436092523
"46","Demographic","weight","weight",0.00506570039758054
"47","Demographic","weight",NA,0.00506570039758054
"48","Demographic",NA,NA,0.0967591987919304
"49","Lab","a1c","a1c_max",0.000671199712821189
"50","Lab","a1c","a1c_maxdiff",0.00222466311061365
"51","Lab","a1c","a1c_mean",0.000870997459397114
"52","Lab","a1c","a1c_min",0.000664431689875686
"53","Lab","a1c","a1c_mindiff",0.00110683652973159
"54","Lab","a1c","a1c_tv",0.00148982579306382
"55","Lab","a1c",NA,0.00702795429550305
"56","Lab","alkphos","alkphos_max",0.00299147629575384
"57","Lab","alkphos","alkphos_maxdiff",0.00500386108524359
"58","Lab","alkphos","alkphos_mean",0.00369955012868777
"59","Lab","alkphos","alkphos_min",0.0060467131414524
"60","Lab","alkphos","alkphos_mindiff",0.00593331757952245
"61","Lab","alkphos","alkphos_tv",0.0077392957563469
"62","Lab","alkphos",NA,0.031414213987007
"63","Lab","alt","alt_max",0.0044619062800137
"64","Lab","alt","alt_maxdiff",0.00608884733869192
"65","Lab","alt","alt_mean",0.00580352326160814
"66","Lab","alt","alt_min",0.00470612883844203
"67","Lab","alt","alt_mindiff",0.00627520642074918
"68","Lab","alt","alt_tv",0.0116665121902611
"69","Lab","alt",NA,0.0390021243297661
"70","Lab","ast","ast_max",0.00312025693931048
"71","Lab","ast","ast_maxdiff",0.00529777783445121
"72","Lab","ast","ast_mean",0.00373673928897011
"73","Lab","ast","ast_min",0.00424933760604451
"74","Lab","ast","ast_mindiff",0.00607783350044622
"75","Lab","ast","ast_tv",0.00715634282546386
"76","Lab","ast",NA,0.0296382879946864
"77","Lab","baso","baso_max",0.000944372520077653
"78","Lab","baso","baso_maxdiff",0.00177611944764903
"79","Lab","baso","baso_mean",0.00215797506447113
"80","Lab","baso","baso_min",0.00109187920577618
"81","Lab","baso","baso_mindiff",0.000895821356327345
"82","Lab","baso","baso_tv",0.00116286983424235
"83","Lab","baso",NA,0.00802903742854369
"84","Lab","bun","bun_max",0.0055944371576546
"85","Lab","bun","bun_maxdiff",0.00572585012006391
"86","Lab","bun","bun_mean",0.00324276670371447
"87","Lab","bun","bun_min",0.00376202065901412
"88","Lab","bun","bun_mindiff",0.00379855023632033
"89","Lab","bun","bun_tv",0.0037791074695155
"90","Lab","bun",NA,0.0259027323462829
"91","Lab","calc","calc_max",0.00708328263401448
"92","Lab","calc","calc_maxdiff",0.00297956240994777
"93","Lab","calc","calc_mean",0.00269336228681577
"94","Lab","calc","calc_min",0.00243810072460658
"95","Lab","calc","calc_mindiff",0.00429438401820538
"96","Lab","calc","calc_tv",0.00345143012583095
"97","Lab","calc",NA,0.0229401221994209
"98","Lab","chlor","chlor_max",0.00234236372500446
"99","Lab","chlor","chlor_maxdiff",0.00368577173289952
"100","Lab","chlor","chlor_mean",0.00365174706885911
"101","Lab","chlor","chlor_min",0.00222168092545193
"102","Lab","chlor","chlor_mindiff",0.00556838594316946
"103","Lab","chlor","chlor_tv",0.00342066449958417
"104","Lab","chlor",NA,0.0208906138949687
"105","Lab","co2","co2_max",0.00392379777904454
"106","Lab","co2","co2_maxdiff",0.00415578785325555
"107","Lab","co2","co2_mean",0.00488689555453578
"108","Lab","co2","co2_min",0.00354028282711578
"109","Lab","co2","co2_mindiff",0.0031730280418962
"110","Lab","co2","co2_tv",0.0031875303509825
"111","Lab","co2",NA,0.0228673224068304
"112","Lab","creat","creat_max",0.0050286363877273
"113","Lab","creat","creat_maxdiff",0.00588004468830113
"114","Lab","creat","creat_mean",0.00478546118245169
"115","Lab","creat","creat_min",0.00340761443649993
"116","Lab","creat","creat_mindiff",0.00462298637581636
"117","Lab","creat","creat_tv",0.0037310617547893
"118","Lab","creat",NA,0.0274558048255857
"119","Lab","crp","crp_max",3.8464652740004e-05
"120","Lab","crp","crp_maxdiff",8.76385264107711e-05
"121","Lab","crp","crp_mindiff",6.83160703244059e-05
"122","Lab","crp","crp_tv",5.10861299498401e-05
"123","Lab","crp",NA,0.000245505379425021
"124","Lab","eos","eos_max",0.00128832151460393
"125","Lab","eos","eos_maxdiff",0.00135603383271879
"126","Lab","eos","eos_mean",0.00266521214189053
"127","Lab","eos","eos_min",0.00161241654328113
"128","Lab","eos","eos_mindiff",0.00212683879594626
"129","Lab","eos","eos_tv",0.00190023021236057
"130","Lab","eos",NA,0.0109490530408012
"131","Lab","gluc","gluc_max",0.00439449520761729
"132","Lab","gluc","gluc_maxdiff",0.00620584435346943
"133","Lab","gluc","gluc_mean",0.00360269480610915
"134","Lab","gluc","gluc_min",0.0055344111699282
"135","Lab","gluc","gluc_mindiff",0.00443825853319108
"136","Lab","gluc","gluc_tv",0.00433891204939851
"137","Lab","gluc",NA,0.0285146161197137
"138","Lab","hct","hct_max",0.0109148413029204
"139","Lab","hct","hct_maxdiff",0.0117897462820762
"140","Lab","hct","hct_mean",0.00635876435677535
"141","Lab","hct","hct_min",0.0053461834633252
"142","Lab","hct","hct_mindiff",0.0153682047460533
"143","Lab","hct","hct_tv",0.0201711048575739
"144","Lab","hct",NA,0.0699488450087242
"145","Lab","hdl","hdl_max",0.00288135899237184
"146","Lab","hdl","hdl_maxdiff",0.00287335052968259
"147","Lab","hdl","hdl_mean",0.00237584087731084
"148","Lab","hdl","hdl_min",0.00297196637397435
"149","Lab","hdl","hdl_mindiff",0.00336918248486399
"150","Lab","hdl","hdl_tv",0.00402622623394942
