"","category","group","Gain"
"1","Comorbidities","cd",0.000547099526469874
"2","Comorbidities","chf",0.000843673388491511
"3","Comorbidities","copd",0.0057087175427791
"4","Comorbidities","ctd",6.45639117812437e-05
"5","Comorbidities","dem",0.000919841737891797
"6","Comorbidities","diab_c",0.000969507991947525
"7","Comorbidities","diab_nc",0.00207493639627327
"8","Comorbidities","gerd",0.0188788128369795
"9","Comorbidities","mi",0.000375615384285191
"10","Comorbidities","mld",0.00117399546746184
"11","Comorbidities","para",0.000260676428935882
"12","Comorbidities","pud",0.00151327331936519
"13","Comorbidities","pvd",0.00295946919321133
"14","Comorbidities","rd",0.00115133986549613
"15","Demographic","age",0.0661412017742094
"16","Demographic","agentorange",0.000352327348804946
"17","Demographic","bmi",0.00571854387182714
"18","Demographic","gender",0.00838091514160697
"19","Demographic","race",0.00918407589697619
"20","Demographic","smoke",0.00191643436092523
"21","Demographic","weight",0.00506570039758054
"22","Lab","a1c",0.00702795429550305
"23","Lab","alkphos",0.031414213987007
"24","Lab","alt",0.0390021243297661
"25","Lab","ast",0.0296382879946864
"26","Lab","baso",0.00802903742854369
"27","Lab","bun",0.0259027323462829
"28","Lab","calc",0.0229401221994209
"29","Lab","chlor",0.0208906138949687
"30","Lab","co2",0.0228673224068304
"31","Lab","creat",0.0274558048255857
"32","Lab","crp",0.000245505379425021
"33","Lab","eos",0.0109490530408012
"34","Lab","gluc",0.0285146161197137
"35","Lab","hct",0.0699488450087242
"36","Lab","hdl",0.018497925492153
"37","Lab","k",0.0240377966595944
"38","Lab","ldl",0.0181042076564819
"39","Lab","lymph",0.0197945774663819
"40","Lab","mch",0.0739254953359318
"41","Lab","mchc",0.0465093763221144
"42","Lab","mcv",0.0635857145009527
"43","Lab","mono",0.0102981507062774
"44","Lab","mpv",0.0122402617619401
"45","Lab","na",0.0197845003252458
"46","Lab","neut",0.0129543336337387
"47","Lab","platelet",0.0511657170960777
"48","Lab","totprot",0.0262074928386625
"49","Lab","trig",0.0162484456042234
"50","Lab","wbc",0.0734004824508938
"51","Medication","h2r",0.000536751188945893
"52","Medication","ppi",0.0336818159198261
