"","category","group","Feature","Gain"
"1","Clinical","colonoscopy","colonoscopy_maxdiff",0.00022571550047646
"2","Clinical","colonoscopy","colonoscopy_n",0.00699361804995684
"3","Clinical","colonoscopy",NA,0.0072193335504333
"4","Clinical","labs_fobt","labs_fobt_maxdiff",0.00268936210704521
"5","Clinical","labs_fobt","labs_fobt_n",0.0132287459491144
"6","Clinical","labs_fobt",NA,0.0159181080561596
"7","Clinical",NA,NA,0.0231374416065929
"8","Comorbidities","cd","cd",0.000936187911743903
"9","Comorbidities","cd",NA,0.000936187911743903
"10","Comorbidities","CHF","CHF",0.000717974244717058
"11","Comorbidities","CHF",NA,0.000717974244717058
"12","Comorbidities","copd","copd",0.00540227720634581
"13","Comorbidities","copd",NA,0.00540227720634581
"14","Comorbidities","CTD","CTD",6.70913433994208e-05
"15","Comorbidities","CTD",NA,6.70913433994208e-05
"16","Comorbidities","DEM","DEM",0.000316158855089111
"17","Comorbidities","DEM",NA,0.000316158855089111
"18","Comorbidities","DIAB_C","DIAB_C",0.000878556524871168
"19","Comorbidities","DIAB_C",NA,0.000878556524871168
"20","Comorbidities","diab_nc","diab_nc",0.00191399696223033
"21","Comorbidities","diab_nc",NA,0.00191399696223033
"22","Comorbidities","GerdAtIndex","GerdAtIndex",0.00312805119696804
"23","Comorbidities","GerdAtIndex",NA,0.00312805119696804
"24","Comorbidities","HIV","HIV",7.17835259878381e-05
"25","Comorbidities","HIV",NA,7.17835259878381e-05
"26","Comorbidities","mi","mi",0.000675006925743041
"27","Comorbidities","mi",NA,0.000675006925743041
"28","Comorbidities","MLD","MLD",0.00128138027171165
"29","Comorbidities","MLD",NA,0.00128138027171165
"30","Comorbidities","MSLD","MSLD",5.84773405462978e-05
"31","Comorbidities","MSLD",NA,5.84773405462978e-05
"32","Comorbidities","PARA","PARA",0.000259604779050445
"33","Comorbidities","PARA",NA,0.000259604779050445
"34","Comorbidities","pud","pud",0.000168197987397035
"35","Comorbidities","pud",NA,0.000168197987397035
"36","Comorbidities","pvd","pvd",0.00176768806271263
"37","Comorbidities","pvd",NA,0.00176768806271263
"38","Comorbidities","RD","RD",0.000457533702867765
"39","Comorbidities","RD",NA,0.000457533702867765
"40","Comorbidities",NA,NA,0.0180999668413815
"41","Demographic","ageatindex","ageatindex",0.095301882044762
"42","Demographic","ageatindex",NA,0.095301882044762
"43","Demographic","agentorange","agentorange",0.00265681679435516
"44","Demographic","agentorange",NA,0.00265681679435516
"45","Demographic","bmi","bmi",0.00674042724420758
"46","Demographic","bmi",NA,0.00674042724420758
"47","Demographic","Gender","Gender",0.00791470943436366
"48","Demographic","Gender",NA,0.00791470943436366
"49","Demographic","Race","Asian",0.000915773787432629
"50","Demographic","Race","Black",0.0083405847732976
"51","Demographic","Race","HawaiianPacific",0.000470515983555114
"52","Demographic","Race","IndianAlaskan",0.000236126087514031
"53","Demographic","Race",NA,0.00996300063179937
"54","Demographic","Smoke","smoke_current",0.0025485523277548
"55","Demographic","Smoke","smoke_former",0.0052104215433428
"56","Demographic","Smoke",NA,0.0077589738710976
"57","Demographic","weight","weight",0.00834015115917674
"58","Demographic","weight",NA,0.00834015115917674
"59","Demographic",NA,NA,0.138675961179762
"60","Lab","A1c","A1c_max",0.000713399935147841
"61","Lab","A1c","A1c_maxdiff",0.00127896156787208
"62","Lab","A1c","A1c_mean",0.000842062837117597
"63","Lab","A1c","A1c_min",0.00125585366044747
