"","category","group","Gain"
"1","Clinical","colonoscopy",0.0072193335504333
"2","Clinical","labs_fobt",0.0159181080561596
"3","Comorbidities","cd",0.000936187911743903
"4","Comorbidities","CHF",0.000717974244717058
"5","Comorbidities","copd",0.00540227720634581
"6","Comorbidities","CTD",6.70913433994208e-05
"7","Comorbidities","DEM",0.000316158855089111
"8","Comorbidities","DIAB_C",0.000878556524871168
"9","Comorbidities","diab_nc",0.00191399696223033
"10","Comorbidities","GerdAtIndex",0.00312805119696804
"11","Comorbidities","HIV",7.17835259878381e-05
"12","Comorbidities","mi",0.000675006925743041
"13","Comorbidities","MLD",0.00128138027171165
"14","Comorbidities","MSLD",5.84773405462978e-05
"15","Comorbidities","PARA",0.000259604779050445
"16","Comorbidities","pud",0.000168197987397035
"17","Comorbidities","pvd",0.00176768806271263
"18","Comorbidities","RD",0.000457533702867765
"19","Demographic","ageatindex",0.095301882044762
"20","Demographic","agentorange",0.00265681679435516
"21","Demographic","bmi",0.00674042724420758
"22","Demographic","Gender",0.00791470943436366
"23","Demographic","Race",0.00996300063179937
"24","Demographic","Smoke",0.0077589738710976
"25","Demographic","weight",0.00834015115917674
"26","Lab","A1c",0.00885625152490942
"27","Lab","alkphos",0.0228256290197647
"28","Lab","alt",0.0266925831737223
"29","Lab","ast",0.0220148499048457
"30","Lab","baso",0.00588615879874987
"31","Lab","bun",0.0313169543806992
"32","Lab","calc",0.0181129408613212
"33","Lab","chlor",0.0192491135959044
"34","Lab","chol",0.0232620794171588
"35","Lab","co2",0.0289685626776765
"36","Lab","creat",0.0231576155450988
"37","Lab","CRP",0.000386697371287796
"38","Lab","eos",0.00912261233233366
"39","Lab","gluc",0.0255886153421234
"40","Lab","hct",0.0471245652376412
"41","Lab","hdl",0.02037007169982
"42","Lab","hgb",0.0534115423843381
"43","Lab","k",0.0219722960093385
"44","Lab","ldl",0.0218471100323785
"45","Lab","lymph",0.0127905445579858
"46","Lab","mch",0.0418385807846697
"47","Lab","mchc",0.0308169642204147
"48","Lab","mcv",0.0414106786950241
"49","Lab","mono",0.00817384781788758
"50","Lab","mpv",0.0125104358411416
"51","Lab","na",0.0223861185750258
"52","Lab","neut",0.00806370623784209
"53","Lab","platelet",0.029731790053364
"54","Lab","rbc",0.0443860163044338
"55","Lab","rbw",0.0259457005047214
"56","Lab","totprot",0.0115244518873053
"57","Lab","trig",0.020539018258961
"58","Lab","wbc",0.0467033871979892
"59","Medication","h2r",0.00582703111424323
"60","Medication","ppi",0.027272109012142
