"","df","category","group","variable","vtype","n","nc","prop_coherent"
"1","observed","Lab","a1c","min <= mean","coherence",2567069,1033917,1
"2","observed","Lab","a1c","mean <= max","coherence",2567069,1033917,1
"3","observed","Lab","a1c","mindiff <= maxdiff","coherence",2567069,681991,1
"4","observed_and_imputed","Lab","a1c","min <= mean","coherence",2567069,2567069,0.859380484124112
"5","observed_and_imputed","Lab","a1c","mean <= max","coherence",2567069,2567069,0.814049408099276
"6","observed_and_imputed","Lab","a1c","mindiff <= maxdiff","coherence",2567069,2567069,0.746107720517057
"7","imputed","Lab","a1c","min <= mean","coherence",2567069,1533152,0.76455041639707
"8","imputed","Lab","a1c","mean <= max","coherence",2567069,1533152,0.68864926634802
"9","imputed","Lab","a1c","mindiff <= maxdiff","coherence",2567069,1885078,0.654253564043504
"10","observed","Lab","alkphos","min <= mean","coherence",2567069,1542160,1
"11","observed","Lab","alkphos","mean <= max","coherence",2567069,1542160,1
"12","observed","Lab","alkphos","mindiff <= maxdiff","coherence",2567069,1220276,1
"13","observed_and_imputed","Lab","alkphos","min <= mean","coherence",2567069,2567069,0.958471704500346
"14","observed_and_imputed","Lab","alkphos","mean <= max","coherence",2567069,2567069,0.956846894259562
"15","observed_and_imputed","Lab","alkphos","mindiff <= maxdiff","coherence",2567069,2567069,0.946458392820762
"16","imputed","Lab","alkphos","min <= mean","coherence",2567069,1024909,0.895984911831197
"17","imputed","Lab","alkphos","mean <= max","coherence",2567069,1024909,0.891915282234813
"18","imputed","Lab","alkphos","mindiff <= maxdiff","coherence",2567069,1346793,0.897946455023155
"19","observed","Lab","alt","min <= mean","coherence",2567069,1603971,1
"20","observed","Lab","alt","mean <= max","coherence",2567069,1603971,1
"21","observed","Lab","alt","mindiff <= maxdiff","coherence",2567069,1302283,1
"22","observed_and_imputed","Lab","alt","min <= mean","coherence",2567069,2567069,0.963516757827702
"23","observed_and_imputed","Lab","alt","mean <= max","coherence",2567069,2567069,0.967504963832293
"24","observed_and_imputed","Lab","alt","mindiff <= maxdiff","coherence",2567069,2567069,0.961450588200006
"25","imputed","Lab","alt","min <= mean","coherence",2567069,963098,0.902756521143227
"26","imputed","Lab","alt","mean <= max","coherence",2567069,963098,0.91338679968186
"27","imputed","Lab","alt","mindiff <= maxdiff","coherence",2567069,1264786,0.921758305357586
"28","observed","Lab","ast","min <= mean","coherence",2567069,1582445,1
"29","observed","Lab","ast","mean <= max","coherence",2567069,1582445,1
"30","observed","Lab","ast","mindiff <= maxdiff","coherence",2567069,1275924,1
"31","observed_and_imputed","Lab","ast","min <= mean","coherence",2567069,2567069,0.967901525046658
"32","observed_and_imputed","Lab","ast","mean <= max","coherence",2567069,2567069,0.965529948746995
"33","observed_and_imputed","Lab","ast","mindiff <= maxdiff","coherence",2567069,2567069,0.95376633818569
"34","imputed","Lab","ast","min <= mean","coherence",2567069,984624,0.916314247875331
"35","imputed","Lab","ast","mean <= max","coherence",2567069,984624,0.910131176977201
"36","imputed","Lab","ast","mindiff <= maxdiff","coherence",2567069,1291145,0.90807771396706
"37","observed","Lab","baso","min <= mean","coherence",2567069,1208457,1
"38","observed","Lab","baso","mean <= max","coherence",2567069,1208457,1
"39","observed","Lab","baso","mindiff <= maxdiff","coherence",2567069,894262,1
"40","observed_and_imputed","Lab","baso","min <= mean","coherence",2567069,2567069,0.956835986878421
"41","observed_and_imputed","Lab","baso","mean <= max","coherence",2567069,2567069,0.914462369340287
"42","observed_and_imputed","Lab","baso","mindiff <= maxdiff","coherence",2567069,2567069,0.897368555344636
"43","imputed","Lab","baso","min <= mean","coherence",2567069,1358612,0.918442498667758
"44","imputed","Lab","baso","mean <= max","coherence",2567069,1358612,0.83837843328338
"45","imputed","Lab","baso","mindiff <= maxdiff","coherence",2567069,1672807,0.842503050262224
"46","observed","Lab","bun","min <= mean","coherence",2567069,1622711,1
"47","observed","Lab","bun","mean <= max","coherence",2567069,1622711,1
"48","observed","Lab","bun","mindiff <= maxdiff","coherence",2567069,1340695,1
"49","observed_and_imputed","Lab","bun","min <= mean","coherence",2567069,2567069,0.970452294036506
"50","observed_and_imputed","Lab","bun","mean <= max","coherence",2567069,2567069,0.9758346970806
"51","observed_and_imputed","Lab","bun","mindiff <= maxdiff","coherence",2567069,2567069,0.987337699142485
"52","imputed","Lab","bun","min <= mean","coherence",2567069,944358,0.9196798248122
"53","imputed","Lab","bun","mean <= max","coherence",2567069,944358,0.934310928694415
"54","imputed","Lab","bun","mindiff <= maxdiff","coherence",2567069,1226374,0.97349503495671
"55","observed","Lab","calc","min <= mean","coherence",2567069,1518836,1
"56","observed","Lab","calc","mean <= max","coherence",2567069,1518836,1
"57","observed","Lab","calc","mindiff <= maxdiff","coherence",2567069,1218363,1
"58","observed_and_imputed","Lab","calc","min <= mean","coherence",2567069,2567069,0.981210867335471
"59","observed_and_imputed","Lab","calc","mean <= max","coherence",2567069,2567069,0.962457573208979
"60","observed_and_imputed","Lab","calc","mindiff <= maxdiff","coherence",2567069,2567069,0.964630868901459
"61","imputed","Lab","calc","min <= mean","coherence",2567069,1048233,0.95398637516659
"62","imputed","Lab","calc","mean <= max","coherence",2567069,1048233,0.908060517079695
"63","imputed","Lab","calc","mindiff <= maxdiff","coherence",2567069,1348706,0.932679916898123
"64","observed","Lab","chlor","min <= mean","coherence",2567069,1620643,1
"65","observed","Lab","chlor","mean <= max","coherence",2567069,1620643,1
"66","observed","Lab","chlor","mindiff <= maxdiff","coherence",2567069,1336311,1
"67","observed_and_imputed","Lab","chlor","min <= mean","coherence",2567069,2567069,0.991678836836875
"68","observed_and_imputed","Lab","chlor","mean <= max","coherence",2567069,2567069,0.971216979364404
"69","observed_and_imputed","Lab","chlor","mindiff <= maxdiff","coherence",2567069,2567069,0.987323285817405
"70","imputed","Lab","chlor","min <= mean","coherence",2567069,946426,0.977429825469714
"71","imputed","Lab","chlor","mean <= max","coherence",2567069,946426,0.921929448261142
"72","imputed","Lab","chlor","mindiff <= maxdiff","coherence",2567069,1230758,0.973559383729377
"73","observed","Lab","co2","min <= mean","coherence",2567069,1624439,1
"74","observed","Lab","co2","mean <= max","coherence",2567069,1624439,1
"75","observed","Lab","co2","mindiff <= maxdiff","coherence",2567069,1341883,1
"76","observed_and_imputed","Lab","co2","min <= mean","coherence",2567069,2567069,0.990079736851639
"77","observed_and_imputed","Lab","co2","mean <= max","coherence",2567069,2567069,0.972602216769397
"78","observed_and_imputed","Lab","co2","mindiff <= maxdiff","coherence",2567069,2567069,0.986063483295541
