"","df","category","group","variable","vtype","n","nc","prop_coherent"
"1","observed","Demographic","race","At most 1","coherence",2567069,2232306,0.998203203324275
"2","observed","Demographic","smoke","At most 1","coherence",2567069,1464224,1
"3","observed","Medication","h2r","mean <= max","coherence",2567069,225137,1
"4","observed","Medication","h2r","maxdiff <= max","coherence",2567069,225136,1
"5","observed","Medication","ppi","mean <= max","coherence",2567069,535246,1
"6","observed","Medication","ppi","maxdiff <= max","coherence",2567069,535241,1
"7","observed","Lab","a1c","min <= mean","coherence",2567069,1033917,1
"8","observed","Lab","a1c","mean <= max","coherence",2567069,1033917,1
"9","observed","Lab","a1c","mindiff <= maxdiff","coherence",2567069,681991,1
"10","observed","Lab","bun","min <= mean","coherence",2567069,1622711,1
"11","observed","Lab","bun","mean <= max","coherence",2567069,1622711,1
"12","observed","Lab","bun","mindiff <= maxdiff","coherence",2567069,1340695,1
"13","observed","Lab","calc","min <= mean","coherence",2567069,1518836,1
"14","observed","Lab","calc","mean <= max","coherence",2567069,1518836,1
"15","observed","Lab","calc","mindiff <= maxdiff","coherence",2567069,1218363,1
"16","observed","Lab","chlor","min <= mean","coherence",2567069,1620643,1
"17","observed","Lab","chlor","mean <= max","coherence",2567069,1620643,1
"18","observed","Lab","chlor","mindiff <= maxdiff","coherence",2567069,1336311,1
"19","observed","Lab","co2","min <= mean","coherence",2567069,1624439,1
"20","observed","Lab","co2","mean <= max","coherence",2567069,1624439,1
"21","observed","Lab","co2","mindiff <= maxdiff","coherence",2567069,1341883,1
"22","observed","Lab","creat","min <= mean","coherence",2567069,1637338,1
"23","observed","Lab","creat","mean <= max","coherence",2567069,1637338,1
"24","observed","Lab","creat","mindiff <= maxdiff","coherence",2567069,1360681,1
"25","observed","Lab","gluc","min <= mean","coherence",2567069,1608168,1
"26","observed","Lab","gluc","mean <= max","coherence",2567069,1608168,1
"27","observed","Lab","gluc","mindiff <= maxdiff","coherence",2567069,1318114,1
"28","observed","Lab","k","min <= mean","coherence",2567069,1636842,1
"29","observed","Lab","k","mean <= max","coherence",2567069,1636842,1
"30","observed","Lab","k","mindiff <= maxdiff","coherence",2567069,1356691,1
"31","observed","Lab","na","min <= mean","coherence",2567069,1635358,1
"32","observed","Lab","na","mean <= max","coherence",2567069,1635358,1
"33","observed","Lab","na","mindiff <= maxdiff","coherence",2567069,1353394,1
