"","df","category","group","variable","vtype","n","nc","prop_coherent"
"1","all","Lab","a1c","min <= mean","coherence",2567069,2567069,0.859380484124112
"2","all","Lab","a1c","mean <= max","coherence",2567069,2567069,0.814049408099276
"3","all","Lab","a1c","mindiff <= maxdiff","coherence",2567069,2567069,0.746107720517057
"4","control","Lab","a1c","min <= mean","coherence",2564221,2564221,0.859332327439796
"5","control","Lab","a1c","mean <= max","coherence",2564221,2564221,0.813980152256767
"6","control","Lab","a1c","mindiff <= maxdiff","coherence",2564221,2564221,0.746037100546326
"7","cases","Lab","a1c","min <= mean","coherence",2848,2848,0.902738764044944
"8","cases","Lab","a1c","mean <= max","coherence",2848,2848,0.876404494382023
"9","cases","Lab","a1c","mindiff <= maxdiff","coherence",2848,2848,0.809691011235955
"10","EAC","Lab","a1c","min <= mean","coherence",2076,2076,0.902215799614644
"11","EAC","Lab","a1c","mean <= max","coherence",2076,2076,0.871387283236994
"12","EAC","Lab","a1c","mindiff <= maxdiff","coherence",2076,2076,0.804913294797688
"13","EGJAC","Lab","a1c","min <= mean","coherence",772,772,0.904145077720207
"14","EGJAC","Lab","a1c","mean <= max","coherence",772,772,0.889896373056995
"15","EGJAC","Lab","a1c","mindiff <= maxdiff","coherence",772,772,0.822538860103627
"16","all","Lab","alkphos","min <= mean","coherence",2567069,2567069,0.958471704500346
"17","all","Lab","alkphos","mean <= max","coherence",2567069,2567069,0.956846894259562
"18","all","Lab","alkphos","mindiff <= maxdiff","coherence",2567069,2567069,0.946458392820762
"19","control","Lab","alkphos","min <= mean","coherence",2564221,2564221,0.958460678701251
"20","control","Lab","alkphos","mean <= max","coherence",2564221,2564221,0.95682821410479
"21","control","Lab","alkphos","mindiff <= maxdiff","coherence",2564221,2564221,0.946442213834143
"22","cases","Lab","alkphos","min <= mean","coherence",2848,2848,0.968398876404494
"23","cases","Lab","alkphos","mean <= max","coherence",2848,2848,0.973665730337079
"24","cases","Lab","alkphos","mindiff <= maxdiff","coherence",2848,2848,0.961025280898876
"25","EAC","Lab","alkphos","min <= mean","coherence",2076,2076,0.968208092485549
"26","EAC","Lab","alkphos","mean <= max","coherence",2076,2076,0.973988439306358
"27","EAC","Lab","alkphos","mindiff <= maxdiff","coherence",2076,2076,0.962909441233141
"28","EGJAC","Lab","alkphos","min <= mean","coherence",772,772,0.968911917098446
"29","EGJAC","Lab","alkphos","mean <= max","coherence",772,772,0.97279792746114
"30","EGJAC","Lab","alkphos","mindiff <= maxdiff","coherence",772,772,0.955958549222798
"31","all","Lab","alt","min <= mean","coherence",2567069,2567069,0.963516757827702
"32","all","Lab","alt","mean <= max","coherence",2567069,2567069,0.967504963832293
"33","all","Lab","alt","mindiff <= maxdiff","coherence",2567069,2567069,0.961450588200006
"34","control","Lab","alt","min <= mean","coherence",2564221,2564221,0.963506655627577
"35","control","Lab","alt","mean <= max","coherence",2564221,2564221,0.967489151676084
"36","control","Lab","alt","mindiff <= maxdiff","coherence",2564221,2564221,0.961438971133923
"37","cases","Lab","alt","min <= mean","coherence",2848,2848,0.972612359550562
"38","cases","Lab","alt","mean <= max","coherence",2848,2848,0.981741573033708
"39","cases","Lab","alt","mindiff <= maxdiff","coherence",2848,2848,0.971910112359551
"40","EAC","Lab","alt","min <= mean","coherence",2076,2076,0.97495183044316
"41","EAC","Lab","alt","mean <= max","coherence",2076,2076,0.98121387283237
"42","EAC","Lab","alt","mindiff <= maxdiff","coherence",2076,2076,0.973988439306358
"43","EGJAC","Lab","alt","min <= mean","coherence",772,772,0.966321243523316
"44","EGJAC","Lab","alt","mean <= max","coherence",772,772,0.983160621761658
"45","EGJAC","Lab","alt","mindiff <= maxdiff","coherence",772,772,0.966321243523316
"46","all","Lab","ast","min <= mean","coherence",2567069,2567069,0.967901525046658
"47","all","Lab","ast","mean <= max","coherence",2567069,2567069,0.965529948746995
"48","all","Lab","ast","mindiff <= maxdiff","coherence",2567069,2567069,0.95376633818569
"49","control","Lab","ast","min <= mean","coherence",2564221,2564221,0.967895512906259
"50","control","Lab","ast","mean <= max","coherence",2564221,2564221,0.965519742643087
"51","control","Lab","ast","mindiff <= maxdiff","coherence",2564221,2564221,0.953750476265501
"52","cases","Lab","ast","min <= mean","coherence",2848,2848,0.973314606741573
"53","cases","Lab","ast","mean <= max","coherence",2848,2848,0.974719101123595
"54","cases","Lab","ast","mindiff <= maxdiff","coherence",2848,2848,0.968047752808989
"55","EAC","Lab","ast","min <= mean","coherence",2076,2076,0.975433526011561
"56","EAC","Lab","ast","mean <= max","coherence",2076,2076,0.977360308285164
"57","EAC","Lab","ast","mindiff <= maxdiff","coherence",2076,2076,0.967726396917148
"58","EGJAC","Lab","ast","min <= mean","coherence",772,772,0.967616580310881
"59","EGJAC","Lab","ast","mean <= max","coherence",772,772,0.967616580310881
"60","EGJAC","Lab","ast","mindiff <= maxdiff","coherence",772,772,0.968911917098446
"61","all","Lab","baso","min <= mean","coherence",2567069,2567069,0.956835986878421
"62","all","Lab","baso","mean <= max","coherence",2567069,2567069,0.914462369340287
"63","all","Lab","baso","mindiff <= maxdiff","coherence",2567069,2567069,0.897368555344636
"64","control","Lab","baso","min <= mean","coherence",2564221,2564221,0.956818854537109
"65","control","Lab","baso","mean <= max","coherence",2564221,2564221,0.914438342092979
"66","control","Lab","baso","mindiff <= maxdiff","coherence",2564221,2564221,0.897339581884713
"67","cases","Lab","baso","min <= mean","coherence",2848,2848,0.972261235955056
"68","cases","Lab","baso","mean <= max","coherence",2848,2848,0.936095505617977
"69","cases","Lab","baso","mindiff <= maxdiff","coherence",2848,2848,0.923455056179775
"70","EAC","Lab","baso","min <= mean","coherence",2076,2076,0.970616570327553
"71","EAC","Lab","baso","mean <= max","coherence",2076,2076,0.935452793834297
"72","EAC","Lab","baso","mindiff <= maxdiff","coherence",2076,2076,0.920038535645472
"73","EGJAC","Lab","baso","min <= mean","coherence",772,772,0.976683937823834
"74","EGJAC","Lab","baso","mean <= max","coherence",772,772,0.937823834196891
"75","EGJAC","Lab","baso","mindiff <= maxdiff","coherence",772,772,0.932642487046632
"76","all","Lab","bun","min <= mean","coherence",2567069,2567069,0.970452294036506
"77","all","Lab","bun","mean <= max","coherence",2567069,2567069,0.9758346970806
"78","all","Lab","bun","mindiff <= maxdiff","coherence",2567069,2567069,0.987337699142485
"79","control","Lab","bun","min <= mean","coherence",2564221,2564221,0.970441315315646
"80","control","Lab","bun","mean <= max","coherence",2564221,2564221,0.975819946876654
"81","control","Lab","bun","mindiff <= maxdiff","coherence",2564221,2564221,0.987336894908824
"82","cases","Lab","bun","min <= mean","coherence",2848,2848,0.980337078651685
"83","cases","Lab","bun","mean <= max","coherence",2848,2848,0.989115168539326
"84","cases","Lab","bun","mindiff <= maxdiff","coherence",2848,2848,0.988061797752809
"85","EAC","Lab","bun","min <= mean","coherence",2076,2076,0.981695568400771
"86","EAC","Lab","bun","mean <= max","coherence",2076,2076,0.990847784200385
"87","EAC","Lab","bun","mindiff <= maxdiff","coherence",2076,2076,0.988921001926782
"88","EGJAC","Lab","bun","min <= mean","coherence",772,772,0.976683937823834
"89","EGJAC","Lab","bun","mean <= max","coherence",772,772,0.984455958549223
"90","EGJAC","Lab","bun","mindiff <= maxdiff","coherence",772,772,0.985751295336788
"91","all","Lab","calc","min <= mean","coherence",2567069,2567069,0.981210867335471
"92","all","Lab","calc","mean <= max","coherence",2567069,2567069,0.962457573208979
"93","all","Lab","calc","mindiff <= maxdiff","coherence",2567069,2567069,0.964630868901459
"94","control","Lab","calc","min <= mean","coherence",2564221,2564221,0.981207548023357
"95","control","Lab","calc","mean <= max","coherence",2564221,2564221,0.962444734677705
"96","control","Lab","calc","mindiff <= maxdiff","coherence",2564221,2564221,0.964618884253736
"97","cases","Lab","calc","min <= mean","coherence",2848,2848,0.984199438202247
"98","cases","Lab","calc","mean <= max","coherence",2848,2848,0.974016853932584
"99","cases","Lab","calc","mindiff <= maxdiff","coherence",2848,2848,0.975421348314607
"100","EAC","Lab","calc","min <= mean","coherence",2076,2076,0.986994219653179
"101","EAC","Lab","calc","mean <= max","coherence",2076,2076,0.973025048169557
"102","EAC","Lab","calc","mindiff <= maxdiff","coherence",2076,2076,0.973988439306358
"103","EGJAC","Lab","calc","min <= mean","coherence",772,772,0.976683937823834
"104","EGJAC","Lab","calc","mean <= max","coherence",772,772,0.976683937823834
"105","EGJAC","Lab","calc","mindiff <= maxdiff","coherence",772,772,0.979274611398964
"106","all","Lab","chlor","min <= mean","coherence",2567069,2567069,0.991678836836875
"107","all","Lab","chlor","mean <= max","coherence",2567069,2567069,0.971216979364404
"108","all","Lab","chlor","mindiff <= maxdiff","coherence",2567069,2567069,0.987323285817405
"109","control","Lab","chlor","min <= mean","coherence",2564221,2564221,0.991674664547245
"110","control","Lab","chlor","mean <= max","coherence",2564221,2564221,0.971205290027654
"111","control","Lab","chlor","mindiff <= maxdiff","coherence",2564221,2564221,0.987318565755448
"112","cases","Lab","chlor","min <= mean","coherence",2848,2848,0.995435393258427
"113","cases","Lab","chlor","mean <= max","coherence",2848,2848,0.981741573033708
"114","cases","Lab","chlor","mindiff <= maxdiff","coherence",2848,2848,0.991573033707865
"115","EAC","Lab","chlor","min <= mean","coherence",2076,2076,0.995183044315992
"116","EAC","Lab","chlor","mean <= max","coherence",2076,2076,0.984104046242775
"117","EAC","Lab","chlor","mindiff <= maxdiff","coherence",2076,2076,0.990847784200385
"118","EGJAC","Lab","chlor","min <= mean","coherence",772,772,0.996113989637306
"119","EGJAC","Lab","chlor","mean <= max","coherence",772,772,0.975388601036269
"120","EGJAC","Lab","chlor","mindiff <= maxdiff","coherence",772,772,0.993523316062176
"121","all","Lab","co2","min <= mean","coherence",2567069,2567069,0.990079736851639
"122","all","Lab","co2","mean <= max","coherence",2567069,2567069,0.972602216769397
"123","all","Lab","co2","mindiff <= maxdiff","coherence",2567069,2567069,0.986063483295541
"124","control","Lab","co2","min <= mean","coherence",2564221,2564221,0.990079248239524
"125","control","Lab","co2","mean <= max","coherence",2564221,2564221,0.972597525720287
"126","control","Lab","co2","mindiff <= maxdiff","coherence",2564221,2564221,0.986057364010356
"127","cases","Lab","co2","min <= mean","coherence",2848,2848,0.990519662921348
"128","cases","Lab","co2","mean <= max","coherence",2848,2848,0.976825842696629
"129","cases","Lab","co2","mindiff <= maxdiff","coherence",2848,2848,0.991573033707865
"130","EAC","Lab","co2","min <= mean","coherence",2076,2076,0.991329479768786
"131","EAC","Lab","co2","mean <= max","coherence",2076,2076,0.975915221579961
"132","EAC","Lab","co2","mindiff <= maxdiff","coherence",2076,2076,0.992774566473988
