"","df","category","group","variable","vtype","n","nc","prop_coherent"
"1","observed_cases","Demographic","race","At most 1","coherence",2848,2626,0.9996191926885
"2","observed_cases","Demographic","smoke","At most 1","coherence",2848,2007,1
"3","observed_cases","Medication","h2r","mean <= max","coherence",2848,335,1
"4","observed_cases","Medication","h2r","maxdiff <= max","coherence",2848,335,1
"5","observed_cases","Medication","ppi","mean <= max","coherence",2848,956,1
"6","observed_cases","Medication","ppi","maxdiff <= max","coherence",2848,956,1
"7","observed_cases","Lab","a1c","min <= mean","coherence",2848,1547,1
"8","observed_cases","Lab","a1c","mean <= max","coherence",2848,1547,1
"9","observed_cases","Lab","a1c","mindiff <= maxdiff","coherence",2848,1161,1
"10","observed_cases","Lab","bun","min <= mean","coherence",2848,2099,1
"11","observed_cases","Lab","bun","mean <= max","coherence",2848,2099,1
"12","observed_cases","Lab","bun","mindiff <= maxdiff","coherence",2848,1925,1
"13","observed_cases","Lab","calc","min <= mean","coherence",2848,1985,1
"14","observed_cases","Lab","calc","mean <= max","coherence",2848,1985,1
"15","observed_cases","Lab","calc","mindiff <= maxdiff","coherence",2848,1749,1
"16","observed_cases","Lab","chlor","min <= mean","coherence",2848,2092,1
"17","observed_cases","Lab","chlor","mean <= max","coherence",2848,2092,1
"18","observed_cases","Lab","chlor","mindiff <= maxdiff","coherence",2848,1900,1
"19","observed_cases","Lab","co2","min <= mean","coherence",2848,2101,1
"20","observed_cases","Lab","co2","mean <= max","coherence",2848,2101,1
"21","observed_cases","Lab","co2","mindiff <= maxdiff","coherence",2848,1914,1
"22","observed_cases","Lab","creat","min <= mean","coherence",2848,2110,1
"23","observed_cases","Lab","creat","mean <= max","coherence",2848,2110,1
"24","observed_cases","Lab","creat","mindiff <= maxdiff","coherence",2848,1944,1
"25","observed_cases","Lab","gluc","min <= mean","coherence",2848,2095,1
"26","observed_cases","Lab","gluc","mean <= max","coherence",2848,2095,1
"27","observed_cases","Lab","gluc","mindiff <= maxdiff","coherence",2848,1914,1
"28","observed_cases","Lab","k","min <= mean","coherence",2848,2112,1
"29","observed_cases","Lab","k","mean <= max","coherence",2848,2112,1
"30","observed_cases","Lab","k","mindiff <= maxdiff","coherence",2848,1937,1
"31","observed_cases","Lab","na","min <= mean","coherence",2848,2115,1
"32","observed_cases","Lab","na","mean <= max","coherence",2848,2115,1
"33","observed_cases","Lab","na","mindiff <= maxdiff","coherence",2848,1947,1
"34","observed_cases","Lab","baso","min <= mean","coherence",2848,1597,1
"35","observed_cases","Lab","baso","mean <= max","coherence",2848,1597,1
"36","observed_cases","Lab","baso","mindiff <= maxdiff","coherence",2848,1318,1
"37","observed_cases","Lab","eos","min <= mean","coherence",2848,1661,1
"38","observed_cases","Lab","eos","mean <= max","coherence",2848,1661,1
"39","observed_cases","Lab","eos","mindiff <= maxdiff","coherence",2848,1365,1
"40","observed_cases","Lab","hct","min <= mean","coherence",2848,2113,1
"41","observed_cases","Lab","hct","mean <= max","coherence",2848,2113,1
"42","observed_cases","Lab","hct","mindiff <= maxdiff","coherence",2848,1862,1
"43","observed_cases","Lab","lymph","min <= mean","coherence",2848,1663,1
"44","observed_cases","Lab","lymph","mean <= max","coherence",2848,1663,1
"45","observed_cases","Lab","lymph","mindiff <= maxdiff","coherence",2848,1382,1
"46","observed_cases","Lab","mch","min <= mean","coherence",2848,2129,1
"47","observed_cases","Lab","mch","mean <= max","coherence",2848,2129,1
"48","observed_cases","Lab","mch","mindiff <= maxdiff","coherence",2848,1890,1
"49","observed_cases","Lab","mchc","min <= mean","coherence",2848,2063,1
"50","observed_cases","Lab","mchc","mean <= max","coherence",2848,2063,1
"51","observed_cases","Lab","mchc","mindiff <= maxdiff","coherence",2848,1817,1
"52","observed_cases","Lab","mcv","min <= mean","coherence",2848,2104,1
"53","observed_cases","Lab","mcv","mean <= max","coherence",2848,2104,1
"54","observed_cases","Lab","mcv","mindiff <= maxdiff","coherence",2848,1847,1
"55","observed_cases","Lab","mono","min <= mean","coherence",2848,1564,1
"56","observed_cases","Lab","mono","mean <= max","coherence",2848,1564,1
"57","observed_cases","Lab","mono","mindiff <= maxdiff","coherence",2848,1276,1
"58","observed_cases","Lab","mpv","min <= mean","coherence",2848,1674,1
"59","observed_cases","Lab","mpv","mean <= max","coherence",2848,1674,1
"60","observed_cases","Lab","mpv","mindiff <= maxdiff","coherence",2848,1465,1
"61","observed_cases","Lab","neut","min <= mean","coherence",2848,1469,1
"62","observed_cases","Lab","neut","mean <= max","coherence",2848,1469,1
"63","observed_cases","Lab","neut","mindiff <= maxdiff","coherence",2848,1216,1
"64","observed_cases","Lab","platelet","min <= mean","coherence",2848,2138,1
"65","observed_cases","Lab","platelet","mean <= max","coherence",2848,2138,1
"66","observed_cases","Lab","platelet","mindiff <= maxdiff","coherence",2848,1890,1
"67","observed_cases","Lab","wbc","min <= mean","coherence",2848,2138,1
"68","observed_cases","Lab","wbc","mean <= max","coherence",2848,2138,1
"69","observed_cases","Lab","wbc","mindiff <= maxdiff","coherence",2848,1891,1
"70","observed_cases","Lab","crp","min <= mean","coherence",2848,250,1
"71","observed_cases","Lab","crp","mean <= max","coherence",2848,250,1
"72","observed_cases","Lab","crp","mindiff <= maxdiff","coherence",2848,101,1
"73","observed_cases","Lab","alkphos","min <= mean","coherence",2848,1982,1
"74","observed_cases","Lab","alkphos","mean <= max","coherence",2848,1982,1
"75","observed_cases","Lab","alkphos","mindiff <= maxdiff","coherence",2848,1720,1
"76","observed_cases","Lab","alt","min <= mean","coherence",2848,2051,1
"77","observed_cases","Lab","alt","mean <= max","coherence",2848,2051,1
"78","observed_cases","Lab","alt","mindiff <= maxdiff","coherence",2848,1850,1
"79","observed_cases","Lab","ast","min <= mean","coherence",2848,2041,1
"80","observed_cases","Lab","ast","mean <= max","coherence",2848,2041,1
"81","observed_cases","Lab","ast","mindiff <= maxdiff","coherence",2848,1813,1
"82","observed_cases","Lab","totprot","min <= mean","coherence",2848,1709,1
"83","observed_cases","Lab","totprot","mean <= max","coherence",2848,1709,1
"84","observed_cases","Lab","totprot","mindiff <= maxdiff","coherence",2848,1457,1
"85","observed_cases","Lab","hdl","min <= mean","coherence",2848,2007,1
"86","observed_cases","Lab","hdl","mean <= max","coherence",2848,2007,1
"87","observed_cases","Lab","hdl","mindiff <= maxdiff","coherence",2848,1766,1
"88","observed_cases","Lab","ldl","min <= mean","coherence",2848,2017,1
"89","observed_cases","Lab","ldl","mean <= max","coherence",2848,2017,1
"90","observed_cases","Lab","ldl","mindiff <= maxdiff","coherence",2848,1769,1
"91","observed_cases","Lab","trig","min <= mean","coherence",2848,2030,1
"92","observed_cases","Lab","trig","mean <= max","coherence",2848,2030,1
"93","observed_cases","Lab","trig","mindiff <= maxdiff","coherence",2848,1789,1
"94","imputed_cases","Demographic","race","At most 1","coherence",2848,222,1
"95","imputed_cases","Demographic","smoke","At most 1","coherence",2848,841,1
"96","imputed_cases","Medication","h2r","mean <= max","coherence",2848,2513,0.775964982093116
"97","imputed_cases","Medication","h2r","maxdiff <= max","coherence",2848,2513,0.960604854755273
"98","imputed_cases","Medication","ppi","mean <= max","coherence",2848,1892,0.770084566596195
"99","imputed_cases","Medication","ppi","maxdiff <= max","coherence",2848,1892,0.971458773784355
"100","imputed_cases","Lab","a1c","min <= mean","coherence",2848,1301,0.787086856264412
"101","imputed_cases","Lab","a1c","mean <= max","coherence",2848,1301,0.729438893159108
"102","imputed_cases","Lab","a1c","mindiff <= maxdiff","coherence",2848,1687,0.678719620628334
"103","imputed_cases","Lab","bun","min <= mean","coherence",2848,749,0.925233644859813
"104","imputed_cases","Lab","bun","mean <= max","coherence",2848,749,0.958611481975968
"105","imputed_cases","Lab","bun","mindiff <= maxdiff","coherence",2848,923,0.963163596966414
"106","imputed_cases","Lab","calc","min <= mean","coherence",2848,863,0.947856315179606
"107","imputed_cases","Lab","calc","mean <= max","coherence",2848,863,0.914252607184241
"108","imputed_cases","Lab","calc","mindiff <= maxdiff","coherence",2848,1099,0.936305732484076
"109","imputed_cases","Lab","chlor","min <= mean","coherence",2848,756,0.982804232804233
"110","imputed_cases","Lab","chlor","mean <= max","coherence",2848,756,0.931216931216931
"111","imputed_cases","Lab","chlor","mindiff <= maxdiff","coherence",2848,948,0.974683544303797
"112","imputed_cases","Lab","co2","min <= mean","coherence",2848,747,0.963855421686747
"113","imputed_cases","Lab","co2","mean <= max","coherence",2848,747,0.911646586345382
"114","imputed_cases","Lab","co2","mindiff <= maxdiff","coherence",2848,934,0.974304068522484
"115","imputed_cases","Lab","creat","min <= mean","coherence",2848,738,0.952574525745257
"116","imputed_cases","Lab","creat","mean <= max","coherence",2848,738,0.886178861788618
"117","imputed_cases","Lab","creat","mindiff <= maxdiff","coherence",2848,904,0.971238938053097
"118","imputed_cases","Lab","gluc","min <= mean","coherence",2848,753,0.916334661354582
"119","imputed_cases","Lab","gluc","mean <= max","coherence",2848,753,0.908366533864542
"120","imputed_cases","Lab","gluc","mindiff <= maxdiff","coherence",2848,934,0.961456102783726
"121","imputed_cases","Lab","k","min <= mean","coherence",2848,736,0.971467391304348
"122","imputed_cases","Lab","k","mean <= max","coherence",2848,736,0.948369565217391
"123","imputed_cases","Lab","k","mindiff <= maxdiff","coherence",2848,911,0.981339187705818
"124","imputed_cases","Lab","na","min <= mean","coherence",2848,733,0.987721691678035
"125","imputed_cases","Lab","na","mean <= max","coherence",2848,733,0.939972714870396
"126","imputed_cases","Lab","na","mindiff <= maxdiff","coherence",2848,901,0.965593784683685
"127","imputed_cases","Lab","baso","min <= mean","coherence",2848,1251,0.936850519584333
"128","imputed_cases","Lab","baso","mean <= max","coherence",2848,1251,0.854516386890488
"129","imputed_cases","Lab","baso","mindiff <= maxdiff","coherence",2848,1530,0.857516339869281
"130","imputed_cases","Lab","eos","min <= mean","coherence",2848,1187,0.833192923336142
"131","imputed_cases","Lab","eos","mean <= max","coherence",2848,1187,0.807919123841618
"132","imputed_cases","Lab","eos","mindiff <= maxdiff","coherence",2848,1483,0.904248145650708
"133","imputed_cases","Lab","hct","min <= mean","coherence",2848,735,0.900680272108843
"134","imputed_cases","Lab","hct","mean <= max","coherence",2848,735,0.884353741496599
"135","imputed_cases","Lab","hct","mindiff <= maxdiff","coherence",2848,986,0.955375253549696
"136","imputed_cases","Lab","lymph","min <= mean","coherence",2848,1185,0.822784810126582
"137","imputed_cases","Lab","lymph","mean <= max","coherence",2848,1185,0.866666666666667
"138","imputed_cases","Lab","lymph","mindiff <= maxdiff","coherence",2848,1466,0.909959072305593
"139","imputed_cases","Lab","mch","min <= mean","coherence",2848,719,0.859527121001391
"140","imputed_cases","Lab","mch","mean <= max","coherence",2848,719,0.803894297635605
"141","imputed_cases","Lab","mch","mindiff <= maxdiff","coherence",2848,958,0.985386221294363
"142","imputed_cases","Lab","mchc","min <= mean","coherence",2848,785,0.964331210191083
"143","imputed_cases","Lab","mchc","mean <= max","coherence",2848,785,0.90828025477707
"144","imputed_cases","Lab","mchc","mindiff <= maxdiff","coherence",2848,1031,0.969932104752667
"145","imputed_cases","Lab","mcv","min <= mean","coherence",2848,744,0.858870967741935
"146","imputed_cases","Lab","mcv","mean <= max","coherence",2848,744,0.837365591397849
"147","imputed_cases","Lab","mcv","mindiff <= maxdiff","coherence",2848,1001,0.958041958041958
"148","imputed_cases","Lab","mono","min <= mean","coherence",2848,1284,0.859034267912773
"149","imputed_cases","Lab","mono","mean <= max","coherence",2848,1284,0.838785046728972
"150","imputed_cases","Lab","mono","mindiff <= maxdiff","coherence",2848,1572,0.912213740458015
"151","imputed_cases","Lab","mpv","min <= mean","coherence",2848,1174,0.862010221465077
"152","imputed_cases","Lab","mpv","mean <= max","coherence",2848,1174,0.833049403747871
