"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"1","observed","Lab","a1c","a1c_max","continuous",2567069,1033917,0.597238329004791,6.72814147537955,1.85675421773137,3.5,5.6,6,7.2,20,NA
"2","observed_and_imputed","Lab","a1c","a1c_max","continuous",2567069,2567069,0,6.46613192177538,1.51924529841842,3.5,5.6,6,6.8,20,0
"3","imputed","Lab","a1c","a1c_max","continuous",2567069,1533152,0.402761670995209,6.28943963579606,1.20921108173776,3.8,5.6,5.9,6.5,19.6404,0
"4","observed","Lab","a1c","a1c_maxdiff","continuous",2567069,681991,0.73433086527865,0.00595599951156346,0.0447893798182577,-2.5,0.000249999999999999,0.00132890365448505,0.00494505494505494,8.5,NA
"5","observed_and_imputed","Lab","a1c","a1c_maxdiff","continuous",2567069,2567069,0,0.00153420271078948,0.0246895117737908,-2.5,-0.000251889168765743,0.000362318840579709,0.00164835164835165,8.5,0
"6","imputed","Lab","a1c","a1c_maxdiff","continuous",2567069,1885078,0.26566913472135,-6.55324842298483e-05,0.00973152738716959,-0.218181818181818,-0.000391134289439374,0.000187969924812029,0.00104166666666666,2,0
"7","observed","Lab","a1c","a1c_mean","continuous",2567069,1033917,0.597238329004791,6.29550058057208,1.23997061843573,3.5,5.5,5.9,6.7,20,NA
"8","observed_and_imputed","Lab","a1c","a1c_mean","continuous",2567069,2567069,0,6.19842351261383,1.06195370503766,3.5,5.52,5.9,6.54166666666667,20,0
"9","imputed","Lab","a1c","a1c_mean","continuous",2567069,1533152,0.402761670995209,6.1329573156078,0.916929473820392,3.8,5.55,5.9,6.45,17.3,0
"10","observed","Lab","a1c","a1c_min","continuous",2567069,1033917,0.597238329004791,5.95113220364884,0.934255875070685,3.5,5.4,5.8,6.3,20,NA
"11","observed_and_imputed","Lab","a1c","a1c_min","continuous",2567069,2567069,0,5.93309959584257,0.859119598065982,3.5,5.4,5.8,6.2,20,4.55312613825154e-69
"12","imputed","Lab","a1c","a1c_min","continuous",2567069,1533152,0.402761670995209,5.92093888394628,0.804269635879404,3.6,5.4,5.8,6.2,17.3,6.60256301019456e-168
"13","observed","Lab","a1c","a1c_mindiff","continuous",2567069,681991,0.73433086527865,-0.00824051190213604,0.0484026615689598,-13.7,-0.00666666666666667,-0.00142857142857143,-0.000235294117647058,8.5,NA
"14","observed_and_imputed","Lab","a1c","a1c_mindiff","continuous",2567069,2567069,0,-0.00308885546048948,0.0266987769524811,-13.7,-0.00204081632653061,-0.000470588235294118,0.000106157112526539,8.5,0
"15","imputed","Lab","a1c","a1c_mindiff","continuous",2567069,1885078,0.26566913472135,-0.00122506874805902,0.0104902337231489,-1,-0.00129870129870129,-0.000276243093922651,0.000242130750605326,0.7,0
"16","observed","Lab","a1c","a1c_tv","continuous",2567069,681991,0.73433086527865,0.00410623114536984,0.0186244224048351,0,0.000537711360782334,0.00140573193441432,0.00410105718571423,8.5,NA
"17","observed_and_imputed","Lab","a1c","a1c_tv","continuous",2567069,2567069,0,0.00221837518130673,0.0162595854267747,0,0.000183823529411766,0.000563579601278108,0.00172539312754805,8.5,0
"18","imputed","Lab","a1c","a1c_tv","continuous",2567069,1885078,0.26566913472135,0.00153537915844329,0.0152569013347051,0,0.000115473441108545,0.000416546416546416,0.00114285714285714,3.1,0
"19","observed","Demographic","age","age","continuous",2567069,2550529,0.00644314586012296,59.5847959384111,17.1931948588594,17,48,62,73,88,NA
"20","observed_and_imputed","Demographic","age","age","continuous",2567069,2567069,0,59.64352925457,17.1949992565508,17,49,62,73,88,0.000111673587999299
"21","imputed","Demographic","age","age","continuous",2567069,16540,0.993556854139877,68.700423216445,14.9228189443426,18,61,71,81,88,0
"22","observed","Demographic","agentorange","agentorange","binary",2567069,2567069,0,0.0941774451719062,0.292075482066717,0,0,0,0,1,NA
"23","observed_and_imputed","Demographic","agentorange","agentorange","binary",2567069,2567069,0,0.0941774451719062,0.292075482066717,0,0,0,0,1,1
