"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"1","observed","Demographic","gender","gender","binary",2567069,2567067,7.79098652977384e-07,0.916413556794583,0.276766651815388,0,1,1,1,1,NA
"2","observed","Demographic","bmi_weight","bmi","continuous",2567069,1689168,0.341985743273749,29.3024269350702,5.80305053837907,9.66470116968435,25.3810751834953,28.5821799307958,32.4240816326531,86.0472,NA
"3","observed","Demographic","bmi_weight","weight","continuous",2567069,1699493,0.337963646477753,200.772393724776,43.6460715103031,80,171,195.7,225,500,NA
"4","observed","Demographic","race","asian","binary",2567069,2232306,0.130406701183334,0.0122913256515907,0.110182822634719,0,0,0,0,1,NA
"5","observed","Demographic","race","black","binary",2567069,2232306,0.130406701183334,0.168571871419062,0.374373421025574,0,0,0,0,1,NA
"6","observed","Demographic","race","hawaiianpacific","binary",2567069,2232306,0.130406701183334,0.0116892576555365,0.107483133961549,0,0,0,0,1,NA
"7","observed","Demographic","race","indianalaskan","binary",2567069,2232306,0.130406701183334,0.0108318483218698,0.103510985810965,0,0,0,0,1,NA
"8","observed","Demographic","agentorange","agentorange","binary",2567069,2567069,0,0.0941774451719062,0.292075482066717,0,0,0,0,1,NA
"9","observed","Demographic","age","age","continuous",2567069,2550529,0.00644314586012296,59.5847959384111,17.1931948588594,17,48,62,73,88,NA
"10","observed","Demographic","smoke","smoke_current","binary",2567069,1464224,0.429612526971421,0.434579681797321,0.495701875911672,0,0,0,1,1,NA
"11","observed","Demographic","smoke","smoke_former","binary",2567069,1464224,0.429612526971421,0.416944401949429,0.493053682331135,0,0,0,1,1,NA
"12","observed","Comorbidities","gerd","gerd","binary",2567069,2174591,0.152889540561629,0.203938579714529,0.402923950734153,0,0,0,0,1,NA
"13","observed","Comorbidities","chf","chf","binary",2567069,2174591,0.152889540561629,0.0587126498730108,0.235086154488317,0,0,0,0,1,NA
"14","observed","Comorbidities","ctd","ctd","binary",2567069,2174591,0.152889540561629,0.0151311212085399,0.122074474122877,0,0,0,0,1,NA
"15","observed","Comorbidities","dem","dem","binary",2567069,2174591,0.152889540561629,0.0125628221582817,0.111377750750426,0,0,0,0,1,NA
"16","observed","Comorbidities","diab_c","diab_c","binary",2567069,2174591,0.152889540561629,0.0700550126437573,0.25523976532992,0,0,0,0,1,NA
"17","observed","Comorbidities","hiv","hiv","binary",2567069,2174591,0.152889540561629,0.00380899212771507,0.0615993948964209,0,0,0,0,1,NA
"18","observed","Comorbidities","mld","mld","binary",2567069,2174591,0.152889540561629,0.0395669806414175,0.194939611571268,0,0,0,0,1,NA
"19","observed","Comorbidities","msld","msld","binary",2567069,2174591,0.152889540561629,0.00377404302694162,0.0613172190754094,0,0,0,0,1,NA
"20","observed","Comorbidities","para","para","binary",2567069,2174591,0.152889540561629,0.00949557870882393,0.0969815292669238,0,0,0,0,1,NA
"21","observed","Comorbidities","rd","rd","binary",2567069,2174591,0.152889540561629,0.0553561566289935,0.228674171254696,0,0,0,0,1,NA
"22","observed","Comorbidities","cd","cd","binary",2567069,2174591,0.152889540561629,0.0736152223567557,0.261143739642607,0,0,0,0,1,NA
"23","observed","Comorbidities","copd","copd","binary",2567069,2174591,0.152889540561629,0.171841049650255,0.37724232099323,0,0,0,0,1,NA
"24","observed","Comorbidities","diab_nc","diab_nc","binary",2567069,2174591,0.152889540561629,0.21387240175279,0.410037894392049,0,0,0,0,1,NA
"25","observed","Comorbidities","mi","mi","binary",2567069,2174591,0.152889540561629,0.0338408463936438,0.180819408649403,0,0,0,0,1,NA
"26","observed","Comorbidities","pud","pud","binary",2567069,2174591,0.152889540561629,0.0184241542432577,0.134479415153597,0,0,0,0,1,NA
"27","observed","Comorbidities","pvd","pvd","binary",2567069,2174591,0.152889540561629,0.077208541744172,0.266922115212482,0,0,0,0,1,NA
"28","observed","Medication","h2r","h2r_int","continuous",2567069,225137,0.912298033282315,339532.272543645,389362.725378792,0,67999.9983,180799.99548,501599.98746,5913600,NA
"29","observed","Medication","h2r","h2r_mean","continuous",2567069,225137,0.912298033282315,499.820602383013,229.242321833998,0,399.99999,449.99998875,599.999985,3938.46153846154,NA
"30","observed","Medication","h2r","h2r_max","continuous",2567069,225137,0.912298033282315,822.613492543519,334.300815833362,0,799.99998,799.99998,799.99998,6399.99984,NA
"31","observed","Medication","h2r","h2r_maxdiff","continuous",2567069,225136,0.912298422831642,127.452794666537,256.167004262695,-1599.99996,0,19.047619047619,133.33333,3199.99992,NA
"32","observed","Medication","h2r","h2r_tv","continuous",2567069,225136,0.912298422831642,28.3692335986454,46.5057148027422,0,7.83190789659798,15.0342334033988,29.6149675098216,1599.99996,NA
"33","observed","Medication","ppi","ppi_int","continuous",2567069,535244,0.791496060292887,16490.8775894194,16414.0727530756,0,3420,11420.05,25900,264816,NA
"34","observed","Medication","ppi","ppi_mean","continuous",2567069,535246,0.791495281194234,18.6962191416245,9.27794047759335,0,12.436013986014,16.8,22.5,219.9999996,NA
"35","observed","Medication","ppi","ppi_max","continuous",2567069,535246,0.791495281194234,32.3020911905738,16.8654694671129,0,20,33.3333333333333,40,256,NA
"36","observed","Medication","ppi","ppi_maxdiff","continuous",2567069,535241,0.791497228940866,7.07031512696285,11.4666280289026,-80,0.104712041884817,2,10,219.9999996,NA
"37","observed","Medication","ppi","ppi_tv","continuous",2567069,535241,0.791497228940866,1.12011083558495,1.5131647291309,0,0.272002923976608,0.664626672163285,1.3968253968254,80,NA
"38","observed","Lab","a1c","a1c_mean","continuous",2567069,1033917,0.597238329004791,6.29550058057208,1.23997061843573,3.5,5.5,5.9,6.7,20,NA
"39","observed","Lab","a1c","a1c_max","continuous",2567069,1033917,0.597238329004791,6.72814147537955,1.85675421773137,3.5,5.6,6,7.2,20,NA
"40","observed","Lab","a1c","a1c_min","continuous",2567069,1033917,0.597238329004791,5.95113220364884,0.934255875070685,3.5,5.4,5.8,6.3,20,NA
"41","observed","Lab","a1c","a1c_maxdiff","continuous",2567069,681991,0.73433086527865,0.00595599951156346,0.0447893798182577,-2.5,0.000249999999999999,0.00132890365448505,0.00494505494505494,8.5,NA
"42","observed","Lab","a1c","a1c_mindiff","continuous",2567069,681991,0.73433086527865,-0.00824051190213604,0.0484026615689598,-13.7,-0.00666666666666667,-0.00142857142857143,-0.000235294117647058,8.5,NA
"43","observed","Lab","a1c","a1c_tv","continuous",2567069,681991,0.73433086527865,0.00410623114536984,0.0186244224048351,0,0.000537711360782334,0.00140573193441432,0.00410105718571423,8.5,NA
"44","observed","Lab","bun","bun_mean","continuous",2567069,1622711,0.367874022864208,16.8225147178177,6.81371853746389,5,12.5714285714286,15.6,19.4,118,NA
"45","observed","Lab","bun","bun_max","continuous",2567069,1622711,0.367874022864208,21.1685231689438,11.3601197474151,5,15,19,24,120,NA
"46","observed","Lab","bun","bun_min","continuous",2567069,1622711,0.367874022864208,13.4732171964077,5.61274351576431,5,10,13,16,118,NA
"47","observed","Lab","bun","bun_maxdiff","continuous",2567069,1340695,0.477733165723243,0.681956272171086,2.36743228765953,-29,0.00869565217391304,0.0302197802197802,0.137931034482759,105,NA
"48","observed","Lab","bun","bun_mindiff","continuous",2567069,1340695,0.477733165723243,-0.96138887071967,3.43912375550441,-95,-0.142857142857143,-0.0285714285714286,-0.008,39,NA
