"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"1","all","Lab","a1c","a1c_max","continuous",2567069,2567069,0,6.46613192177538,1.51924529841842,3.5,5.6,6,6.8,20,NA
"2","control","Lab","a1c","a1c_max","continuous",2564221,2564221,0,6.46585916607812,1.51904894308628,3.5,5.6,6,6.8,20,0.838856720757629
"3","cases","Lab","a1c","a1c_max","continuous",2848,2848,0,6.71170983146067,1.66908638896245,3.9,5.7,6.1,7.125,18.3,6.66024591607558e-18
"4","EAC","Lab","a1c","a1c_max","continuous",2076,2076,0,6.69434470134875,1.64538858925014,3.9,5.7,6.1,7.1,16.2,7.86573423067677e-12
"5","EGJAC","Lab","a1c","a1c_max","continuous",772,772,0,6.7584067357513,1.73143243827397,4.3,5.7,6.1,7.3,18.3,9.07961991576685e-08
"6","all","Lab","a1c","a1c_maxdiff","continuous",2567069,2567069,0,0.00153420271078948,0.0246895117737908,-2.5,-0.000251889168765743,0.000362318840579709,0.00164835164835165,8.5,NA
"7","control","Lab","a1c","a1c_maxdiff","continuous",2564221,2564221,0,0.00153094473275382,0.0245025516063568,-2.5,-0.000251889168765744,0.000361663652802894,0.00164835164835165,8.5,0.880745268580601
"8","cases","Lab","a1c","a1c_maxdiff","continuous",2848,2848,0,0.0044675509188544,0.0942583265619727,-0.087012987012987,0,0.0006611588311149,0.00291668359263923,5,3.1786193566773e-10
"9","EAC","Lab","a1c","a1c_maxdiff","continuous",2076,2076,0,0.00490477075915649,0.110067859685963,-0.0615384615384615,0,0.000620636525591024,0.00269180470793374,5,6.79431816880271e-10
"10","EGJAC","Lab","a1c","a1c_maxdiff","continuous",772,772,0,0.00329181466436331,0.0141602892027997,-0.087012987012987,0,0.000767779775413362,0.00330974842767296,0.3,0.0479435497235448
"11","all","Lab","a1c","a1c_mean","continuous",2567069,2567069,0,6.19842351261383,1.06195370503766,3.5,5.52,5.9,6.54166666666667,20,NA
"12","control","Lab","a1c","a1c_mean","continuous",2564221,2564221,0,6.198286018894,1.06191144675592,3.5,5.52,5.9,6.54166666666667,20,0.88341173983614
"13","cases","Lab","a1c","a1c_mean","continuous",2848,2848,0,6.3222171515758,1.09253413877852,3.8,5.6,6,6.72556818181818,12.3,5.05578936099534e-10
"14","EAC","Lab","a1c","a1c_mean","continuous",2076,2076,0,6.31298856016061,1.08501342845175,3.8,5.6,6,6.7275974025974,12.3,8.95423901286129e-07
"15","EGJAC","Lab","a1c","a1c_mean","continuous",772,772,0,6.34703393367156,1.11283772382924,4.3,5.6,6,6.7,11.4,0.00010124631265198
"16","all","Lab","a1c","a1c_min","continuous",2567069,2567069,0,5.93309959584257,0.859119598065982,3.5,5.4,5.8,6.2,20,NA
"17","control","Lab","a1c","a1c_min","continuous",2564221,2564221,0,5.93304208861093,0.859130655277631,3.5,5.4,5.8,6.2,20,0.939567101778622
"18","cases","Lab","a1c","a1c_min","continuous",2848,2848,0,5.98487672050562,0.847672684237192,3.6,5.5,5.8,6.3,12.3,0.0013065178112071
"19","EAC","Lab","a1c","a1c_min","continuous",2076,2076,0,5.97722972061657,0.838387420884272,3.6,5.5,5.8,6.3,12.3,0.0193082610432544
"20","EGJAC","Lab","a1c","a1c_min","continuous",772,772,0,6.00544041450777,0.872372579421737,4,5.5,5.8,6.3,11.4,0.0193241116016642
"21","all","Lab","a1c","a1c_mindiff","continuous",2567069,2567069,0,-0.00308885546048948,0.0266987769524811,-13.7,-0.00204081632653061,-0.000470588235294118,0.000106157112526539,8.5,NA
"22","control","Lab","a1c","a1c_mindiff","continuous",2564221,2564221,0,-0.00308726936280647,0.0267077279850452,-13.7,-0.00204081632653061,-0.00046948356807512,0.000106951871657755,8.5,0.94636335937095
"23","cases","Lab","a1c","a1c_mindiff","continuous",2848,2848,0,-0.0045169119867612,0.016747278067687,-0.3,-0.00351653469958081,-0.000784325787401574,0,0.199999999999999,0.00431949979906893
"24","EAC","Lab","a1c","a1c_mindiff","continuous",2076,2076,0,-0.00430133103810779,0.0162014960024639,-0.3,-0.00350877192982456,-0.000772200772200771,0,0.199999999999999,0.0385595516901303
"25","EGJAC","Lab","a1c","a1c_mindiff","continuous",772,772,0,-0.0050966348486841,0.018132039835647,-0.299999999999999,-0.00357142857142857,-0.000863311139819139,0,0.02,0.0366798259543001
"26","all","Lab","a1c","a1c_tv","continuous",2567069,2567069,0,0.00221837518130673,0.0162595854267747,0,0.000183823529411766,0.000563579601278108,0.00172539312754805,8.5,NA
"27","control","Lab","a1c","a1c_tv","continuous",2564221,2564221,0,0.00221793927202348,0.0162666250594643,0,0.000183823529411766,0.000563380281690141,0.00172487395016229,8.5,0.975781388516267
"28","cases","Lab","a1c","a1c_tv","continuous",2848,2848,0,0.00261084980848942,0.00762121921772879,0,0.000267379679144384,0.000793798331688868,0.00255250840881263,0.303161603609942,0.197742714269599
"29","EAC","Lab","a1c","a1c_tv","continuous",2076,2076,0,0.00260247619851351,0.00832864947613551,0,0.000263813462821567,0.000781984326457571,0.00249402222349588,0.303161603609942,0.281826239326049
"30","EGJAC","Lab","a1c","a1c_tv","continuous",772,772,0,0.002633367443606,0.005271663898668,0,0.000283086058161682,0.000846398552051827,0.00276341476907447,0.0647840096674556,0.478237405501269
"31","all","Demographic","age","age","continuous",2567069,2567069,0,59.64352925457,17.1949992565508,17,49,62,73,88,NA
"32","control","Demographic","age","age","continuous",2564221,2564221,0,59.6357607242122,17.2002956737403,17,49,62,73,88,0.608912421390515
"33","cases","Demographic","age","age","continuous",2848,2848,0,66.6379915730337,9.09397082374345,27,61,66,72,88,1.89093101393728e-104
"34","EAC","Demographic","age","age","continuous",2076,2076,0,66.4417148362235,8.9017650204668,32,61,66,72,88,1.59020789081522e-72
"35","EGJAC","Demographic","age","age","continuous",772,772,0,67.1658031088083,9.57777753817562,27,62,67,73,88,5.44432880271093e-34
"36","all","Demographic","agentorange","agentorange","binary",2567069,2567069,0,0.0941774451719062,0.292075482066717,0,0,0,0,1,NA
"37","control","Demographic","agentorange","agentorange","binary",2564221,2564221,0,0.0941014834524793,0.291969908567809,0,0,0,0,1,0.768284594721883
"38","cases","Demographic","agentorange","agentorange","binary",2848,2848,0,0.162570224719101,0.369037892245853,0,0,0,0,1,9.01633046250267e-36
"39","EAC","Demographic","agentorange","agentorange","binary",2076,2076,0,0.167630057803468,0.373627441450072,0,0,0,0,1,2.33555945390198e-30
"40","EGJAC","Demographic","agentorange","agentorange","binary",772,772,0,0.148963730569948,0.356283545733428,0,0,0,0,1,1.88249955913761e-07
"41","all","Lab","alkphos","alkphos_max","continuous",2567069,2567069,0,87.1213725571459,39.6698692540278,1,67,81,98,1500,NA
"42","control","Lab","alkphos","alkphos_max","continuous",2564221,2564221,0,87.1149189671639,39.6581188241774,1,67,81,98,1500,0.853790515207817
"43","cases","Lab","alkphos","alkphos_max","continuous",2848,2848,0,92.9319171348315,48.7851645035134,22,70,85,104,980,5.71193803440352e-15
"44","EAC","Lab","alkphos","alkphos_max","continuous",2076,2076,0,92.1118015414258,42.7710039199356,22,69,84,104,813,1.00973299018081e-08
"45","EGJAC","Lab","alkphos","alkphos_max","continuous",772,772,0,95.1373056994819,62.115404974481,32,71,85,103.25,980,1.99658042148147e-08
"46","all","Lab","alkphos","alkphos_maxdiff","continuous",2567069,2567069,0,0.42827506757264,4.62386082995253,-217,0.00900900900900901,0.0380952380952381,0.104477611940299,877,NA
"47","control","Lab","alkphos","alkphos_maxdiff","continuous",2564221,2564221,0,0.427946182659974,4.62388387308876,-217,0.00900900900900901,0.0380952380952381,0.104477611940299,877,0.935791604640627
"48","cases","Lab","alkphos","alkphos_maxdiff","continuous",2848,2848,0,0.724389393289668,4.59432864548635,-1.55555555555556,0.0180412371134021,0.0559675519383166,0.169213393568961,136.5,0.000636060064085037
"49","EAC","Lab","alkphos","alkphos_maxdiff","continuous",2076,2076,0,0.7827059680213,5.08853099754936,-1.55555555555556,0.0174367960457013,0.0555555555555556,0.169911682055399,136.5,0.000481541558013355
"50","EGJAC","Lab","alkphos","alkphos_maxdiff","continuous",772,772,0,0.567569174192689,2.86753329740328,-0.38655462184874,0.0191568313335731,0.057424156774072,0.168059972739664,43,0.402607796762346
"51","all","Lab","alkphos","alkphos_mean","continuous",2567069,2567069,0,76.4035623593078,25.0183771387457,1,61.2857142857143,72.8,86.75,1500,NA
"52","control","Lab","alkphos","alkphos_mean","continuous",2564221,2564221,0,76.4008759235764,25.0147344967224,1,61.2857142857143,72.7777777777778,86.75,1500,0.903193959044404
"53","cases","Lab","alkphos","alkphos_mean","continuous",2848,2848,0,78.8223175972385,28.0076858838388,21.5,62.2767857142857,75,89.525,574.5,2.52488532422997e-07
"54","EAC","Lab","alkphos","alkphos_mean","continuous",2076,2076,0,78.4167335629912,25.0714641351789,21.5,62,74.7416666666667,89.8,434.333333333333,0.000247466016396593
"55","EGJAC","Lab","alkphos","alkphos_mean","continuous",772,772,0,79.9129813991783,34.6880430200277,28.5,63.5571428571429,75.55,89.025,574.5,9.76508055508045e-05
"56","all","Lab","alkphos","alkphos_min","continuous",2567069,2567069,0,67.3839133479466,21.0469939616159,1,54,65,77,1500,NA
"57","control","Lab","alkphos","alkphos_min","continuous",2564221,2564221,0,67.3834518374976,21.0469524685513,1,54,65,77,1500,0.980186075528376
"58","cases","Lab","alkphos","alkphos_min","continuous",2848,2848,0,67.7994382022472,21.083921822834,19,54,65,78,308,0.292333392051944
"59","EAC","Lab","alkphos","alkphos_min","continuous",2076,2076,0,67.6857899807322,20.2362874685096,19,53.375,65,78,250,0.513584134962001
"60","EGJAC","Lab","alkphos","alkphos_min","continuous",772,772,0,68.1050518134715,23.2215766402175,23,54,65,78,308,0.341185090160312
"61","all","Lab","alkphos","alkphos_mindiff","continuous",2567069,2567069,0,-0.687376670172976,5.1944222483582,-950,-0.125,-0.0466666666666667,-0.0151098901098901,117,NA
"62","control","Lab","alkphos","alkphos_mindiff","continuous",2564221,2564221,0,-0.686686442443746,5.19175284061105,-950,-0.125,-0.046656298600311,-0.0151057401812689,117,0.880339150927295
"63","cases","Lab","alkphos","alkphos_mindiff","continuous",2848,2848,0,-1.30882907118226,7.18163436604518,-191,-0.183242311008911,-0.0630275945236575,-0.0224561734806282,2.75,1.79511821117907e-10
"64","EAC","Lab","alkphos","alkphos_mindiff","continuous",2076,2076,0,-1.31684364007577,7.32285247542857,-191,-0.177659110723627,-0.061495487752471,-0.0223870798319328,2.75,3.44924697624671e-08
"65","EGJAC","Lab","alkphos","alkphos_mindiff","continuous",772,772,0,-1.28727694032355,6.79187226373977,-133,-0.209155251141553,-0.0682789432789433,-0.0231179775280899,0.584905660377358,0.00133647545916569
"66","all","Lab","alkphos","alkphos_tv","continuous",2567069,2567069,0,0.210776093777266,1.20309082909574,0,0.0223153598784457,0.0429737753587333,0.0910964590964591,261.299889746417,NA
