"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"1","observed_cases","Demographic","gender","gender","binary",2848,2848,0,0.991924157303371,0.089517803638379,0,1,1,1,1,NA
"2","observed_cases","Demographic","bmi_weight","bmi","continuous",2848,2448,0.140449438202247,30.0175214889738,6.21258107759175,15.494693877551,25.8029016792035,29.0895886907702,33.4066832908922,65.9198109567901,NA
"3","observed_cases","Demographic","bmi_weight","weight","continuous",2848,2450,0.139747191011236,208.035265306122,46.7903122023926,97.7,176,201.9,235.925,486.1,NA
"4","observed_cases","Demographic","race","asian","binary",2848,2626,0.0779494382022472,0.0019040365575019,0.0436020087663619,0,0,0,0,1,NA
"5","observed_cases","Demographic","race","black","binary",2848,2626,0.0779494382022472,0.0594059405940594,0.236427919765615,0,0,0,0,1,NA
"6","observed_cases","Demographic","race","hawaiianpacific","binary",2848,2626,0.0779494382022472,0.007996953541508,0.0890843665951997,0,0,0,0,1,NA
"7","observed_cases","Demographic","race","indianalaskan","binary",2848,2626,0.0779494382022472,0.00685453160700685,0.0825235745390056,0,0,0,0,1,NA
"8","observed_cases","Demographic","agentorange","agentorange","binary",2848,2848,0,0.162570224719101,0.369037892245853,0,0,0,0,1,NA
"9","observed_cases","Demographic","age","age","continuous",2848,2832,0.00561797752808989,66.594279661017,9.06896585961198,27,61,66,72,88,NA
"10","observed_cases","Demographic","smoke","smoke_current","binary",2848,2007,0.295294943820225,0.482311908320877,0.499811566060642,0,0,0,1,1,NA
"11","observed_cases","Demographic","smoke","smoke_former","binary",2848,2007,0.295294943820225,0.440458395615346,0.496565862871692,0,0,0,1,1,NA
"12","observed_cases","Comorbidities","gerd","gerd","binary",2848,2634,0.0751404494382023,0.343583902809415,0.47499438018443,0,0,0,1,1,NA
"13","observed_cases","Comorbidities","chf","chf","binary",2848,2634,0.0751404494382023,0.122247532270311,0.327633676970501,0,0,0,0,1,NA
"14","observed_cases","Comorbidities","ctd","ctd","binary",2848,2634,0.0751404494382023,0.0239179954441913,0.152822745694485,0,0,0,0,1,NA
"15","observed_cases","Comorbidities","dem","dem","binary",2848,2634,0.0751404494382023,0.010250569476082,0.100743975050524,0,0,0,0,1,NA
"16","observed_cases","Comorbidities","diab_c","diab_c","binary",2848,2634,0.0751404494382023,0.140470766894457,0.347540769547877,0,0,0,0,1,NA
"17","observed_cases","Comorbidities","hiv","hiv","binary",2848,2634,0.0751404494382023,0.00265755504935459,0.0514927091349632,0,0,0,0,1,NA
"18","observed_cases","Comorbidities","mld","mld","binary",2848,2634,0.0751404494382023,0.0630220197418375,0.243048702428009,0,0,0,0,1,NA
"19","observed_cases","Comorbidities","msld","msld","binary",2848,2634,0.0751404494382023,0.00797266514806378,0.0889500173979584,0,0,0,0,1,NA
"20","observed_cases","Comorbidities","para","para","binary",2848,2634,0.0751404494382023,0.0140470766894457,0.117707333641087,0,0,0,0,1,NA
"21","observed_cases","Comorbidities","rd","rd","binary",2848,2634,0.0751404494382023,0.101366742596811,0.301871035692636,0,0,0,0,1,NA
"22","observed_cases","Comorbidities","cd","cd","binary",2848,2634,0.0751404494382023,0.126423690205011,0.332389358420571,0,0,0,0,1,NA
"23","observed_cases","Comorbidities","copd","copd","binary",2848,2634,0.0751404494382023,0.334472285497342,0.471895240808084,0,0,0,1,1,NA
"24","observed_cases","Comorbidities","diab_nc","diab_nc","binary",2848,2634,0.0751404494382023,0.350797266514806,0.477310211770773,0,0,0,1,1,NA
"25","observed_cases","Comorbidities","mi","mi","binary",2848,2634,0.0751404494382023,0.0744115413819286,0.262489279899124,0,0,0,0,1,NA
"26","observed_cases","Comorbidities","pud","pud","binary",2848,2634,0.0751404494382023,0.0273348519362187,0.163088183701233,0,0,0,0,1,NA
"27","observed_cases","Comorbidities","pvd","pvd","binary",2848,2634,0.0751404494382023,0.164009111617312,0.370354150308473,0,0,0,0,1,NA
"28","observed_cases","Medication","h2r","h2r_int","continuous",2848,335,0.882373595505618,364158.100824965,379706.852956912,399.99999,71999.9982,225599.99436,520999.99347,2323199.94192,NA
"29","observed_cases","Medication","h2r","h2r_mean","continuous",2848,335,0.882373595505618,486.471954822005,217.901112478727,6.6666665,399.99999,461.53845,593.3333185,1447.61901142857,NA
"30","observed_cases","Medication","h2r","h2r_max","continuous",2848,335,0.882373595505618,792.736299657711,332.262406074782,13.333333,799.99998,799.99998,799.99998,1600,NA
"31","observed_cases","Medication","h2r","h2r_maxdiff","continuous",2848,335,0.882373595505618,153.966727480866,285.298444572887,-79.999998,0,31.9999992,133.33333,1599.99996,NA
"32","observed_cases","Medication","h2r","h2r_tv","continuous",2848,335,0.882373595505618,29.3497021444455,39.4385987781135,0,8.29959450673899,16.1013083105407,31.4241621549168,279.999993,NA
"33","observed_cases","Medication","ppi","ppi_int","continuous",2848,956,0.664325842696629,20367.2061134356,18358.0643753892,10,5540,16760,28033,109680,NA
"34","observed_cases","Medication","ppi","ppi_mean","continuous",2848,956,0.664325842696629,19.5727333230485,9.75547775134298,2.89285714285714,13,16.7333333333333,23.5320512820513,66.6666666666667,NA
"35","observed_cases","Medication","ppi","ppi_max","continuous",2848,956,0.664325842696629,33.9155230125523,18.2353872044865,4.5,20,36,40,144,NA
"36","observed_cases","Medication","ppi","ppi_maxdiff","continuous",2848,956,0.664325842696629,7.9077882830577,12.1243932525464,-1.33333333333333,0.447575757575758,3,10,80,NA
"37","observed_cases","Medication","ppi","ppi_tv","continuous",2848,956,0.664325842696629,1.15310413457996,1.34921059659812,0,0.330574727899812,0.688663760406298,1.49759577515217,13.5555555555556,NA
"38","observed_cases","Lab","a1c","a1c_mean","continuous",2848,1547,0.456811797752809,6.49225670841601,1.20474203951104,4.1,5.7,6.1,6.99375,12.3,NA
"39","observed_cases","Lab","a1c","a1c_max","continuous",2848,1547,0.456811797752809,7.05941790562379,1.91056088837753,4.1,5.8,6.3,7.8,18.3,NA
"40","observed_cases","Lab","a1c","a1c_min","continuous",2848,1547,0.456811797752809,6.05860303813833,0.88157910413116,4,5.5,5.9,6.4,12.3,NA
"41","observed_cases","Lab","a1c","a1c_maxdiff","continuous",2848,1161,0.592345505617977,0.0101094344181146,0.147329720325283,-0.0174603174603175,0.000538599640933572,0.00205128205128205,0.0064516129032258,5,NA
"42","observed_cases","Lab","a1c","a1c_mindiff","continuous",2848,1161,0.592345505617977,-0.00907567209523419,0.0237247577897903,-0.3,-0.00898876404494382,-0.0021505376344086,-0.000530503978779841,0.0217857142857143,NA
"43","observed_cases","Lab","a1c","a1c_tv","continuous",2848,1161,0.592345505617977,0.00422280250869311,0.0109225493312133,0,0.000730059297052865,0.00179449268352647,0.0047704807730538,0.303161603609942,NA
"44","observed_cases","Lab","bun","bun_mean","continuous",2848,2099,0.262991573033708,17.3621057273079,6.78473990748545,5,13,16,20.0741758241758,63,NA
"45","observed_cases","Lab","bun","bun_max","continuous",2848,2099,0.262991573033708,23.8370176274416,13.5165427318349,5,16,20,27,120,NA
"46","observed_cases","Lab","bun","bun_min","continuous",2848,2099,0.262991573033708,12.8546450690805,5.07661709131095,5,9,12,15.35,52,NA
"47","observed_cases","Lab","bun","bun_maxdiff","continuous",2848,1925,0.324087078651685,1.27964253096898,3.17126457724052,-5,0.0165016501650165,0.0593220338983051,0.714285714285714,36.5,NA
"48","observed_cases","Lab","bun","bun_mindiff","continuous",2848,1925,0.324087078651685,-1.74729347689494,4.59064497711848,-56,-1,-0.0625,-0.0171428571428571,3.5,NA
"49","observed_cases","Lab","bun","bun_tv","continuous",2848,1925,0.324087078651685,0.401409912232691,0.916226090278974,0,0.0151784656462858,0.0405405405405405,0.338350630816157,14.1962309218559,NA
"50","observed_cases","Lab","calc","calc_mean","continuous",2848,1985,0.303019662921348,9.23948428117964,0.422574305661768,4.935,9,9.25,9.5,11.3,NA
"51","observed_cases","Lab","calc","calc_max","continuous",2848,1985,0.303019662921348,9.66020151133501,0.476988579039378,6.5,9.4,9.6,9.9,13.2,NA
"52","observed_cases","Lab","calc","calc_min","continuous",2848,1985,0.303019662921348,8.78599496221663,0.808737086683821,0.97,8.5,8.9,9.2,11.3,NA
"53","observed_cases","Lab","calc","calc_maxdiff","continuous",2848,1749,0.385884831460674,0.129007804468496,0.430575563960713,-0.300000000000001,0.00137362637362637,0.005,0.0600000000000001,7.52,NA
"54","observed_cases","Lab","calc","calc_mindiff","continuous",2848,1749,0.385884831460674,-0.167011279728852,0.380304910163295,-6.53,-0.0999999999999996,-0.00571428571428571,-0.00142857142857142,0.15,NA
"55","observed_cases","Lab","calc","calc_tv","continuous",2848,1749,0.385884831460674,0.0385243118164915,0.0816164442672229,0,0.00131798212392062,0.00357307698724881,0.0381020036960579,1.20489795918367,NA
"56","observed_cases","Lab","chlor","chlor_mean","continuous",2848,2092,0.265449438202247,103.390283948901,3.0702142849204,67.875,101.75,103.571428571429,105.416666666667,113,NA
"57","observed_cases","Lab","chlor","chlor_max","continuous",2848,2092,0.265449438202247,106.387715105163,3.45884834709311,93,104,106,108,127,NA
"58","observed_cases","Lab","chlor","chlor_min","continuous",2848,2092,0.265449438202247,100.13551625239,5.21161154109813,9.1,98,101,103,112,NA
"59","observed_cases","Lab","chlor","chlor_maxdiff","continuous",2848,1900,0.332865168539326,1.122762660036,2.43900145120206,-3,0.0114123376623377,0.039538822303283,0.666666666666667,23,NA
"60","observed_cases","Lab","chlor","chlor_mindiff","continuous",2848,1900,0.332865168539326,-0.931150515060978,1.97053852406698,-19,-0.5,-0.038961038961039,-0.0110497237569061,7,NA
"61","observed_cases","Lab","chlor","chlor_tv","continuous",2848,1900,0.332865168539326,0.273315254096438,0.558758569319581,0,0.0100630971345726,0.0249708021077508,0.261884705664286,7,NA
"62","observed_cases","Lab","co2","co2_mean","continuous",2848,2101,0.262289325842697,26.9115609621355,2.39905727042034,17.2857142857143,25.375,27,28.5,36.4615384615385,NA
"63","observed_cases","Lab","co2","co2_max","continuous",2848,2101,0.262289325842697,29.5142789148025,3.16589652032526,20,28,29,31,50,NA
"64","observed_cases","Lab","co2","co2_min","continuous",2848,2101,0.262289325842697,24.2237029985721,3.18079950945783,8,22,24,26,34,NA
"65","observed_cases","Lab","co2","co2_maxdiff","continuous",2848,1914,0.327949438202247,0.898276773468161,1.96139738609714,-3,0.0101522842639594,0.0378552663004538,0.666666666666667,23.5,NA
"66","observed_cases","Lab","co2","co2_mindiff","continuous",2848,1914,0.327949438202247,-0.830367410873467,1.93719917200945,-27,-0.5,-0.0347524154589372,-0.010958904109589,4.1,NA
"67","observed_cases","Lab","co2","co2_tv","continuous",2848,1914,0.327949438202247,0.224945263750633,0.443232630193126,0,0.0091307467246315,0.0234939415393022,0.205233494977604,4.1,NA
"68","observed_cases","Lab","creat","creat_mean","continuous",2848,2110,0.259129213483146,1.10994607089762,0.497953523629622,0.5,0.9,1.02583333333333,1.2,8.8529702970297,NA
"69","observed_cases","Lab","creat","creat_max","continuous",2848,2110,0.259129213483146,1.34259146919431,0.798908931136471,0.54,1,1.2,1.4,11.84,NA
"70","observed_cases","Lab","creat","creat_min","continuous",2848,2110,0.259129213483146,0.95051327014218,0.351212501902847,0.3,0.8,0.9,1.05,6.5,NA
"71","observed_cases","Lab","creat","creat_maxdiff","continuous",2848,1944,0.317415730337079,0.0542366497747779,0.190730535525096,-0.1,0.00052910052910053,0.00192212959454339,0.02,3.1,NA
"72","observed_cases","Lab","creat","creat_mindiff","continuous",2848,1944,0.317415730337079,-0.0813990211764358,0.260068985860839,-4.22,-0.04,-0.00210526315789474,-0.000537453994371076,0.0800000000000001,NA
"73","observed_cases","Lab","creat","creat_tv","continuous",2848,1944,0.317415730337079,0.0160096565027991,0.0559699886100579,0,0.000443133450719534,0.00122321318622181,0.0102079528001375,1.29680662570984,NA
"74","observed_cases","Lab","gluc","gluc_mean","continuous",2848,2095,0.26439606741573,120.727744594384,35.876478534517,65,98.6,108.5,130.333333333333,406.5,NA
"75","observed_cases","Lab","gluc","gluc_max","continuous",2848,2095,0.26439606741573,161.750835322196,84.7382055761091,65,108,130,184,877,NA
"76","observed_cases","Lab","gluc","gluc_min","continuous",2848,2095,0.26439606741573,94.0477326968974,23.7072968702694,15,81,91,102,278,NA
"77","observed_cases","Lab","gluc","gluc_maxdiff","continuous",2848,1914,0.327949438202247,12.7376303565193,32.6767351489162,-54,0.0644831208345407,0.325062656641604,6,337,NA
