"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",123391.372753995,132482.224383959,69347.5881120567
"2","Demographic","bmi_weight","bmi",3296.36906678486,4210.54974022952,6635.29731680279
"3","Demographic","bmi_weight","weight",35448.7636111569,25413.2447139897,15676.7048916381
"4","Demographic","race","asian",26013.5637053486,13474.1929709751,0
"5","Demographic","race","black",199835.905607488,271120.822090411,33041.860442643
"6","Demographic","race","hawaiianpacific",5691.11875861405,0,0
"7","Demographic","race","indianalaskan",0,0,0
"8","Demographic","agentorange","agentorange",280.094772049955,0,1814.42035555097
"9","Demographic","age","age",950874.097392995,897474.383005911,876826.671430445
"10","Demographic","smoke","smoke_current",58761.2089535815,73257.03591338,41512.3084683938
"11","Demographic","smoke","smoke_former",7647.52312322284,8649.27266559761,0
"12","Comorbidities","gerd","gerd",85052.8154385863,102732.206453622,22900.5141625101
"13","Comorbidities","chf","chf",0,358.969096095965,0
"14","Comorbidities","ctd","ctd",0,0,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",19086.9235644141,6457.01085171237,21897.5987315667
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",7793.85467506078,537.384387159731,9198.5154495365
"19","Comorbidities","msld","msld",0,0,0
"20","Comorbidities","para","para",306.580390780739,0,0
"21","Comorbidities","rd","rd",32201.8246127048,13410.1109855382,14710.4597414929
"22","Comorbidities","cd","cd",10065.6695273617,5241.46174291331,11488.1245567861
"23","Comorbidities","copd","copd",92433.7411856409,73006.9436697401,120235.310832646
"24","Comorbidities","diab_nc","diab_nc",34212.5035036966,24431.8995212936,19060.0772386509
"25","Comorbidities","mi","mi",19840.1929154914,13422.7260008608,2498.3758815117
"26","Comorbidities","pud","pud",953.254109691543,6463.64075740436,0
"27","Comorbidities","pvd","pvd",50939.6735506905,41293.7879768505,50105.8725608914
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",0,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",10814.3408640557,5288.87025294852,642.365100139512
"34","Medication","ppi","ppi_mean",105.765146224048,284.558423553091,0
"35","Medication","ppi","ppi_max",7011.10091995447,9230.82941275314,0
