"","age_bin","gender","ANY","EAC","EGJAC"
"1","(0,30]",0,1.52571962411246,1.31428955466121,1.45635902191004
"2","(0,30]",1,2.54937056592791,2.32350697928221,1.65480090173612
"3","(30,40]",0,1.85268779949695,1.4356473801313,1.51259340577213
"4","(30,40]",1,3.12671818280562,2.59479225764391,1.70412904618368
"5","(40,50]",0,9.29315108633041,5.46280166777402,5.07530894649664
"6","(40,50]",1,26.8614409472975,18.62255182777,8.83668858859466
"7","(50,60]",0,20.0693072735752,12.6342812148849,12.9389786388565
"8","(50,60]",1,145.929243927864,110.630435942351,35.8163754062605
"9","(60,70]",0,28.6861876770913,17.5702212477417,18.9239576743751
"10","(60,70]",1,198.747758977752,144.172345423305,50.6115580687483
"11","(70,80]",0,25.2157262123899,15.861219228185,16.1600920572823
"12","(70,80]",1,141.319406447945,102.852072854985,39.7811278312879
"13","(80,100]",0,18.7307856764799,12.1599662285793,13.4764594894799
"14","(80,100]",1,92.6993687091257,64.6147286208012,32.0988432927527
