"","threshold","N","p","tp","tn","fp","fn","ppv","tpr","det_prev","spec","tr_by_14"
"1",0,2567069,2567069,2848,0,2564221,0,0.110943648183979,100,100,0,0
"2",5,2567069,2133578,2836,433479,2130742,12,0.132922255478825,99.5786516853933,83.113387291109,16.9049001626615,0.357142857142857
"3",10,2567069,2055146,2834,511909,2052312,14,0.137897745464313,99.5084269662921,80.0580740135929,19.9635288846008,0.714285714285714
"4",15,2567069,1982764,2822,584279,1979942,26,0.142326570383566,99.0870786516854,77.2384380786025,22.7858285225805,1.07142857142857
"5",20,2567069,1920919,2810,646112,1918109,38,0.146284148368567,98.6657303370787,74.8292702689332,25.1972041411407,1.42857142857143
"6",25,2567069,1865752,2792,701261,1862960,56,0.149644754501134,98.0337078651685,72.680243499493,27.3479157997692,1.78571428571429
"7",30,2567069,1814385,2775,752611,1811610,73,0.152944386114303,97.436797752809,70.6792454741185,29.3504733016382,2.14285714285714
"8",35,2567069,1764415,2749,802555,1761666,99,0.155802348087043,96.5238764044944,68.7326674896545,31.2981993361727,2.5
"9",40,2567069,1713752,2725,853194,1711027,123,0.159007837773493,95.6811797752809,66.7590937368649,33.273029118785,2.85714285714286
"10",45,2567069,1662539,2707,904389,1659832,141,0.162823248056136,95.0491573033708,64.7640947711183,35.2695418998596,3.21428571428571
"11",50,2567069,1611132,2679,955768,1608453,169,0.166280602706668,94.0660112359551,62.7615385484379,37.2732303494902,3.57142857142857
"12",55,2567069,1558696,2666,1008191,1556030,182,0.171040408136032,93.6095505617977,60.7188977000618,39.3176329185355,3.92857142857143
"13",60,2567069,1506425,2640,1060436,1503785,208,0.175249348623396,92.6966292134831,58.6826844155728,41.355093808217,4.28571428571429
"14",65,2567069,1453688,2620,1113153,1451068,228,0.180231246319705,91.9943820224719,56.6283181324694,43.4109618476723,4.64285714285714
"15",70,2567069,1401044,2585,1165762,1398459,263,0.184505268928028,90.7654494382023,54.5775746581023,45.4626180816708,5
"16",75,2567069,1349413,2546,1217354,1346867,302,0.188674631117382,89.3960674157303,52.5662925305085,47.4746131476187,5.35714285714286
"17",80,2567069,1297952,2499,1268768,1295453,349,0.192534084465373,87.7457865168539,50.5616327414651,49.4796665342028,5.71428571428571
"18",85,2567069,1247024,2458,1319655,1244566,390,0.197109277768511,86.3061797752809,48.5777359315235,51.4641678700861,6.07142857142857
