"","feature","bin_var","ntrain_controls","natrain_controls","mtrain_controls","strain_controls","nvalid_controls","navalid_controls","mvalid_controls","svalid_controls","ntest_controls","natest_controls","mtest_controls","stest_controls","ndev_controls","nadev_controls","mdev_controls","sdev_controls","ntrain_cases","natrain_cases","mtrain_cases","strain_cases","nvalid_cases","navalid_cases","mvalid_cases","svalid_cases","ntest_cases","natest_cases","mtest_cases","stest_cases","ndev_cases","nadev_cases","mdev_cases","sdev_cases"
"1","gender",TRUE,5128437,6,0.915953925143275,0.27745692849302,2564217,4,0.91619586017876,0.277093911721873,2564221,2,0.916329754728629,0.276892696233304,7692654,10,0.916034570123653,0.277335981186289,5697,0,0.992978760751273,0.0835054815848277,2848,0,0.995435393258427,0.0674193376747668,2850,0,0.991929824561404,0.089486632976896,8545,0,0.993797542422469,0.078515657915903
"2","bmi",FALSE,3374928,1753515,29.2983219783564,5.80615233350658,1687554,876667,29.3027045853256,5.80173103005061,1686721,877502,29.3013885977152,5.80237140753279,5062482,2630182,29.2997828992883,5.80467868212539,4897,800,29.7893899620029,6.15448062267885,2441,407,29.8031132404277,6.16689060034702,2449,401,30.0161730052611,6.21167050968717,7338,1207,29.7939550373143,6.15819472045239
"3","weight",FALSE,3395476,1732967,200.718047330448,43.6430918332056,1697907,866314,200.744586645853,43.6425619603105,1697044,867179,200.761903715225,43.6404970380839,5093383,2599281,200.726894355971,43.642912706896,4901,796,206.470881452765,46.4803647189494,2445,403,206.636711656442,45.7979460082743,2451,399,208.030762953896,46.7812932186957,7346,1199,206.526075415192,46.2512984999096
"4","asian",TRUE,4458636,669807,0.0123721694258064,0.11054004518749,2229684,334537,0.0123820236410182,0.11058351873619,2229682,334541,0.0123035482189837,0.110236910199762,6688320,1004344,0.0123754545237069,0.110554531686624,5228,469,0.00306044376434583,0.0552418425031896,2617,231,0.0022927015666794,0.0478363825118449,2628,222,0.00190258751902588,0.0435854396015758,7845,700,0.00280433397068196,0.0528850280545551
"5","black",TRUE,4458636,669807,0.168626458854233,0.374421697650167,2229684,334537,0.169006908602295,0.374758103895202,2229682,334541,0.16870073849096,0.374487466039668,6688320,1004344,0.168753289316301,0.374533893839336,5228,469,0.0556618209640398,0.229289421512583,2617,231,0.0550248376003057,0.228072316199264,2628,222,0.0593607305936073,0.23634358318731,7845,700,0.0554493307839388,0.228869787301964
"6","hawaiianpacific",TRUE,4458636,669807,0.0116371912845094,0.107246303634105,2229684,334537,0.011603886470011,0.107094544364728,2229682,334541,0.0116935957683652,0.107502840751112,6688320,1004344,0.0116260884646667,0.107195728691665,5228,469,0.00726855394032135,0.0849535316215053,2617,231,0.00726022162781811,0.084913285028997,2628,222,0.00799086757990868,0.0890507222367122,7845,700,0.00726577437858509,0.08493469523954
"7","indianalaskan",TRUE,4458636,669807,0.0108281994762523,0.10349372915616,2229684,334537,0.0108333736977975,0.103518194140891,2229682,334541,0.0108365228763564,0.103533074211879,6688320,1004344,0.0108299244055308,0.103501877976174,5228,469,0.00707727620504973,0.0838363451517144,2617,231,0.00611387084447841,0.077966750898056,2628,222,0.00684931506849315,0.0824923715861967,7845,700,0.00675589547482473,0.0819213574982696
"8","agentorange",FALSE,5128443,0,0.0934905584404467,0.291118687906572,2564221,0,0.0940402562805624,0.291884771278727,2564223,0,0.0941014100567696,0.29196980653249,7692664,0,0.0936737910299995,0.291374369051958,5697,0,0.153063015622257,0.360079835282302,2848,0,0.156601123595506,0.363488106268702,2850,0,0.16280701754386,0.369254294820617,8545,0,0.154242246928028,0.361201944069305
"9","age",FALSE,5095881,32562,59.5904923996459,17.1987939990015,2547945,16276,59.5855208805527,17.1987763305447,2547699,16524,59.5769829952441,17.1985122245693,7643826,48838,59.5888352246635,17.1987871441752,5672,25,66.8476727785614,8.91855020152797,2835,13,66.7654320987654,9.04838815922792,2834,16,66.5899788285109,9.0672966466415,8507,38,66.8202656635712,8.96158026161017
"10","smoke_current",TRUE,2926429,2202014,0.434620487973568,0.495707175028682,1464306,1099915,0.434680319550695,0.495715147198146,1462218,1102005,0.43451455254962,0.495693276344062,4390735,3301929,0.434640441748363,0.495709778106418,4055,1642,0.482367447595561,0.499750621703678,1978,870,0.493427704752275,0.500083230382658,2008,842,0.482569721115538,0.499820565829808,6033,2512,0.485993701309465,0.499845212738624
"11","smoke_former",TRUE,2926429,2202014,0.417173285256536,0.493092099317094,1464306,1099915,0.416916955882172,0.493049058203681,1462218,1102005,0.416911842146657,0.49304819670742,4390735,3301929,0.417087799650856,0.493077704226919,4055,1642,0.440443896424168,0.496501624463434,1978,870,0.442871587462083,0.496851233159756,2008,842,0.440239043824701,0.496539437190123,6033,2512,0.441239847505387,0.496576396635737
"12","gerd",TRUE,4345448,782995,0.203940997568028,0.402925681037733,2172420,391801,0.203993702875135,0.402964448566766,2171958,392265,0.20376913365728,0.40279938992854,6517868,1174796,0.203958564364913,0.402938572610054,5290,407,0.32703213610586,0.469173453374006,2643,205,0.329928111993946,0.470275696010186,2635,215,0.343453510436433,0.474951371468776,7933,612,0.327996974662801,0.469513309016201
"13","chf",TRUE,4345448,782995,0.0585783099924329,0.234833780111799,2172420,391801,0.0588969904530433,0.23543185953285,2171958,392265,0.0586355721427396,0.234941412347678,6517868,1174796,0.0586845269035819,0.235033320363211,5290,407,0.0998109640831758,0.299776122100099,2643,205,0.102913356034809,0.303903177411701,2635,215,0.122201138519924,0.32758013469322,7933,612,0.100844573301399,0.301141788653257
"14","ctd",TRUE,4345448,782995,0.015128934922245,0.122065776035918,2172420,391801,0.0150463538358145,0.121737290482136,2171958,392265,0.0151204581304059,0.122032113530591,6517868,1174796,0.0151014104612119,0.121956386242096,5290,407,0.0192816635160681,0.137526202196787,2643,205,0.0174044646235339,0.130797638321593,2635,215,0.0239089184060721,0.152794443755915,7933,612,0.0186562460607589,0.13531629128347
"15","dem",TRUE,4345448,782995,0.012585813936791,0.111478312169714,2172420,391801,0.0126177258541167,0.111617761056416,2171958,392265,0.0125656205138404,0.111389996892165,6517868,1174796,0.0125964502502967,0.111524802620979,5290,407,0.0151228733459357,0.122053218366025,2643,205,0.00681044267877412,0.082259472122618,2635,215,0.010246679316888,0.100725047420416,7933,612,0.0123534602294214,0.110464430613894
"16","diab_c",TRUE,4345448,782995,0.0700443314475277,0.255221742940464,2172420,391801,0.0702460850111851,0.255561348047339,2171958,392265,0.0699695850472243,0.255095809797943,6517868,1174796,0.0701115763620857,0.255334982375619,5290,407,0.134026465028355,0.340712952490065,2643,205,0.116912599318956,0.321376914894516,2635,215,0.140417457305503,0.347485566579942,7933,612,0.128324719526031,0.334472103377522
"17","hiv",TRUE,4345448,782995,0.00385023592504152,0.0619307071733449,2172420,391801,0.00389381427164173,0.0622788428558761,2171958,392265,0.00381038675701835,0.0616106277962825,6517868,1174796,0.00386476068554934,0.0620469572263628,5290,407,0.00359168241965974,0.0598285791520055,2643,205,0.00264850548618994,0.0514051623106715,2635,215,0.00265654648956357,0.0514829596159487,7933,612,0.00327744863229547,0.0571587158862058
"18","mld",TRUE,4345448,782995,0.0395335532722978,0.194860617303741,2172420,391801,0.0393179035361486,0.1943502595438,2171958,392265,0.0395385177798099,0.194872370735106,6517868,1174796,0.0394616767323306,0.194690674191846,5290,407,0.0676748582230624,0.251210870104158,2643,205,0.0696178584941354,0.254550050579879,2635,215,0.0629981024667932,0.243005662659282,7933,612,0.068322198411698,0.252313893023782
"19","msld",TRUE,4345448,782995,0.00378096803827816,0.061373228575499,2172420,391801,0.00375848132497397,0.0611911502318075,2171958,392265,0.00376894949165683,0.0612759842036355,6517868,1174796,0.00377347316637896,0.0613125977544584,5290,407,0.00756143667296786,0.0866353287726489,2643,205,0.0102156640181612,0.100574009400841,2635,215,0.0079696394686907,0.0889332664486643,7933,612,0.00844573301399218,0.091517530464152
"20","para",TRUE,4345448,782995,0.00952790138093938,0.0971448539447144,2172420,391801,0.00948435385422699,0.0969247399304816,2171958,392265,0.00949005459589913,0.0969535857385251,6517868,1174796,0.00951338689276919,0.0970715396411189,5290,407,0.0141776937618147,0.11823421398543,2643,205,0.0132425274309497,0.11433332337593,2635,215,0.0140417457305503,0.117685305838558,7933,612,0.0138661288289424,0.11694264913059
"21","rd",TRUE,4345448,782995,0.0551280328288358,0.228230026097076,2172420,391801,0.055257270693512,0.228481790870363,2171958,392265,0.0553003326951992,0.228565592231325,6517868,1174796,0.0551711080985385,0.22831396130617,5290,407,0.0896030245746692,0.285639188407631,2643,205,0.0919409761634506,0.288997289442615,2635,215,0.101328273244782,0.301820187537262,7933,612,0.0903819488213791,0.286746258703347
