"","labs","N_Control","N_EAC","N_EGJAC","prop_Control","prop_EAC","prop_EGJAC","value"
"1","a1c",6126655,4019,1314,0.373951798701404,0.322837175676761,0.307081093713484,"missing"
"2","a1c",10256887,8430,2965,0.626048201298596,0.677162824323239,0.692918906286516,"total"
"3","bun",3772408,2276,737,0.268895051390679,0.212591070427797,0.199081577525662,"missing"
"4","bun",10256887,8430,2965,0.731104948609321,0.787408929572203,0.800918422474338,"total"
"5","calc",4188194,2613,868,0.289939114913928,0.236620483564249,0.226454474302113,"missing"
"6","calc",10256887,8430,2965,0.710060885086072,0.763379516435751,0.773545525697887,"total"
"7","chlor",3781453,2274,744,0.269366107388765,0.212443946188341,0.200593151792936,"missing"
"8","chlor",10256887,8430,2965,0.730633892611235,0.787556053811659,0.799406848207064,"total"
"9","co2",3766731,2247,737,0.268599087624891,0.210452374262433,0.199081577525662,"missing"
"10","co2",10256887,8430,2965,0.731400912375109,0.789547625737567,0.800918422474338,"total"
"11","creat",3714591,2209,728,0.265869580870399,0.207632296268446,0.197129704847008,"missing"
"12","creat",10256887,8430,2965,0.734130419129601,0.792367703731554,0.802870295152992,"total"
"13","gluc",3831033,2279,746,0.271937447117814,0.212811653749183,0.201023982753975,"missing"
"14","gluc",10256887,8430,2965,0.728062552882186,0.787188346250817,0.798976017246025,"total"
"15","k",3716489,2234,736,0.265969297612832,0.209489872468117,0.19886517157525,"missing"
"16","k",10256887,8430,2965,0.734030702387168,0.790510127531883,0.80113482842475,"total"
"17","na",3722591,2227,729,0.26628969980138,0.208970629633105,0.197347049269085,"missing"
"18","na",10256887,8430,2965,0.73371030019862,0.791029370366895,0.802652950730915,"total"
"19","baso",5429087,3832,1238,0.346110926870081,0.31251019409558,0.294551510825601,"missing"
"20","baso",10256887,8430,2965,0.653889073129919,0.68748980590442,0.705448489174399,"total"
"21","eos",5258206,3635,1188,0.338909086784075,0.301284707832574,0.286058271129304,"missing"
"22","eos",10256887,8430,2965,0.661090913215925,0.698715292167426,0.713941728870696,"total"
"23","hct",3857105,2287,715,0.273282356968886,0.21339927218438,0.19429347826087,"missing"
"24","hct",10256887,8430,2965,0.726717643031114,0.78660072781562,0.80570652173913,"total"
"25","lymph",5285596,3610,1184,0.340074105276486,0.299833887043189,0.285369968667149,"missing"
"26","lymph",10256887,8430,2965,0.659925894723514,0.700166112956811,0.714630031332851,"total"
"27","mch",3847096,2259,706,0.272766636204822,0.211338759472355,0.192318169436121,"missing"
"28","mch",10256887,8430,2965,0.727233363795178,0.788661240527645,0.807681830563879,"total"
"29","mchc",4006314,2417,791,0.280884634522082,0.222826587996681,0.210596379126731,"missing"
"30","mchc",10256887,8430,2965,0.719115365477918,0.777173412003319,0.789403620873269,"total"
"31","mcv",3911724,2324,735,0.276083802427775,0.216105635112516,0.198648648648649,"missing"
"32","mcv",10256887,8430,2965,0.723916197572225,0.783894364887484,0.801351351351351,"total"
"33","mono",5499690,3916,1307,0.349040911614242,0.317187753118419,0.305945692883895,"missing"
"34","mono",10256887,8430,2965,0.650959088385758,0.682812246881581,0.694054307116105,"total"
"35","mpv",5075539,3567,1217,0.331033001561527,0.297324331082771,0.291009086561454,"missing"
"36","mpv",10256887,8430,2965,0.668966998438473,0.702675668917229,0.708990913438546,"total"
"37","neut",5850648,4061,1386,0.363224292233417,0.32511408213914,0.318547460353942,"missing"
"38","neut",10256887,8430,2965,0.636775707766583,0.67488591786086,0.681452539646058,"total"
"39","platelet",3830343,2222,702,0.271901786227669,0.208599324070597,0.191437142077993,"missing"
"40","platelet",10256887,8430,2965,0.728098213772331,0.791400675929403,0.808562857922007,"total"
"41","wbc",3821819,2216,700,0.271460956710084,0.208153297012963,0.190995907230559,"missing"
"42","wbc",10256887,8430,2965,0.728539043289916,0.791846702987037,0.809004092769441,"total"
"43","crp",9782700,7735,2681,0.488168743198151,0.478502938447263,0.474849450938718,"missing"
"44","crp",10256887,8430,2965,0.511831256801849,0.521497061552737,0.525150549061282,"total"
"45","alkphos",4097042,2609,865,0.285430003171954,0.236343871727512,0.225848563968668,"missing"
"46","alkphos",10256887,8430,2965,0.714569996828046,0.763656128272488,0.774151436031332,"total"
"47","alt",3848682,2383,791,0.272848404768358,0.220382872468325,0.210596379126731,"missing"
"48","alt",10256887,8430,2965,0.727151595231642,0.779617127531675,0.789403620873269,"total"
"49","ast",3935729,2424,823,0.277308214355972,0.223327805417358,0.217265047518479,"missing"
"50","ast",10256887,8430,2965,0.722691785644028,0.776672194582642,0.782734952481521,"total"
"51","totprot",4909571,3326,1157,0.323712431735874,0.282919360326642,0.280688985929161,"missing"
"52","totprot",10256887,8430,2965,0.676287568264126,0.717080639673358,0.719311014070839,"total"
"53","hdl",4063958,2515,820,0.283779204369575,0.229785290086798,0.21664464993395,"missing"
"54","hdl",10256887,8430,2965,0.716220795630425,0.770214709913202,0.78335535006605,"total"
"55","ldl",4064621,2490,823,0.283812361100521,0.228021978021978,0.217265047518479,"missing"
"56","ldl",10256887,8430,2965,0.716187638899479,0.771978021978022,0.782734952481521,"total"
"57","trig",4013118,2459,816,0.281227511833388,0.225824226283405,0.215815921713832,"missing"
"58","trig",10256887,8430,2965,0.718772488166612,0.774175773716595,0.784184078286168,"total"
