"","df","category","group","variable","vtype","n","nc","prop_coherent"
"1","new_cohort_raw","Demographic","race","At most 1","coherence",2402933,2093429,0.997180224406942
"2","new_cohort_raw","Demographic","smoke","At most 1","coherence",2402933,629715,1
"3","new_cohort_raw","Medication","h2r","mean <= max","coherence",2402933,111630,1
"4","new_cohort_raw","Medication","h2r","maxdiff <= max","coherence",2402933,111630,1
"5","new_cohort_raw","Medication","ppi","mean <= max","coherence",2402933,378746,1
"6","new_cohort_raw","Medication","ppi","maxdiff <= max","coherence",2402933,378746,1
"7","new_cohort_raw","Lab","a1c","min <= mean","coherence",2402933,1098579,1
"8","new_cohort_raw","Lab","a1c","mean <= max","coherence",2402933,1098579,1
"9","new_cohort_raw","Lab","a1c","mindiff <= maxdiff","coherence",2402933,687412,1
"10","new_cohort_raw","Lab","bun","min <= mean","coherence",2402933,1335137,1
"11","new_cohort_raw","Lab","bun","mean <= max","coherence",2402933,1335137,1
"12","new_cohort_raw","Lab","bun","mindiff <= maxdiff","coherence",2402933,1025018,1
"13","new_cohort_raw","Lab","calc","min <= mean","coherence",2402933,1276556,1
"14","new_cohort_raw","Lab","calc","mean <= max","coherence",2402933,1276556,1
"15","new_cohort_raw","Lab","calc","mindiff <= maxdiff","coherence",2402933,964785,1
"16","new_cohort_raw","Lab","chlor","min <= mean","coherence",2402933,1323562,1
"17","new_cohort_raw","Lab","chlor","mean <= max","coherence",2402933,1323562,1
"18","new_cohort_raw","Lab","chlor","mindiff <= maxdiff","coherence",2402933,1012451,1
"19","new_cohort_raw","Lab","co2","min <= mean","coherence",2402933,1321920,1
"20","new_cohort_raw","Lab","co2","mean <= max","coherence",2402933,1321920,1
"21","new_cohort_raw","Lab","co2","mindiff <= maxdiff","coherence",2402933,1010667,1
"22","new_cohort_raw","Lab","creat","min <= mean","coherence",2402933,1337931,1
"23","new_cohort_raw","Lab","creat","mean <= max","coherence",2402933,1337931,1
"24","new_cohort_raw","Lab","creat","mindiff <= maxdiff","coherence",2402933,1034413,1
"25","new_cohort_raw","Lab","gluc","min <= mean","coherence",2402933,1335376,1
"26","new_cohort_raw","Lab","gluc","mean <= max","coherence",2402933,1335376,1
"27","new_cohort_raw","Lab","gluc","mindiff <= maxdiff","coherence",2402933,1021290,1
"28","new_cohort_raw","Lab","k","min <= mean","coherence",2402933,1337692,1
"29","new_cohort_raw","Lab","k","mean <= max","coherence",2402933,1337692,1
"30","new_cohort_raw","Lab","k","mindiff <= maxdiff","coherence",2402933,1027139,1
"31","new_cohort_raw","Lab","na","min <= mean","coherence",2402933,1337508,1
"32","new_cohort_raw","Lab","na","mean <= max","coherence",2402933,1337508,1
"33","new_cohort_raw","Lab","na","mindiff <= maxdiff","coherence",2402933,1026314,1
"34","new_cohort_raw","Lab","baso","min <= mean","coherence",2402933,1064842,1
"35","new_cohort_raw","Lab","baso","mean <= max","coherence",2402933,1064842,1
"36","new_cohort_raw","Lab","baso","mindiff <= maxdiff","coherence",2402933,727748,1
"37","new_cohort_raw","Lab","eos","min <= mean","coherence",2402933,1091664,1
"38","new_cohort_raw","Lab","eos","mean <= max","coherence",2402933,1091664,1
