"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",141896.020269372,156115.486272693,77584.8768882491
"2","Demographic","bmi_weight","bmi",25649.1257279835,19812.4594998724,8731.99428780707
"3","Demographic","bmi_weight","weight",35793.8183294913,33173.5695670721,16775.3883685268
"4","Demographic","race","asian",5278.5201713515,6383.45675186859,0
"5","Demographic","race","black",151548.91023051,202452.600843359,31262.7011707903
"6","Demographic","race","hawaiianpacific",3594.17866229875,3024.98979666936,0
"7","Demographic","race","indianalaskan",2399.82624434289,1342.0469596769,0
"8","Demographic","agentorange","agentorange",899.769638289003,162.236984825075,2766.12805769776
"9","Demographic","age","age",941003.999312349,931937.18923068,813719.448148595
"10","Demographic","smoke","smoke_current",40404.9148104075,35813.9046462789,12353.2779873405
"11","Demographic","smoke","smoke_former",16748.0233832663,12605.5690698206,1040.15491858194
"12","Comorbidities","gerd","gerd",109106.514063674,121298.763448296,26079.1597174747
"13","Comorbidities","chf","chf",243.412285003418,551.17149863753,376.847982156745
"14","Comorbidities","ctd","ctd",0,225.936299859357,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",17836.5359044685,12772.3228311562,15396.3856635068
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",9621.78527292506,4835.88741539548,5031.54324053871
"19","Comorbidities","msld","msld",0,25.5966696417854,0
"20","Comorbidities","para","para",0,0,0
"21","Comorbidities","rd","rd",17825.5049276221,11999.8541041596,8800.83680363436
"22","Comorbidities","cd","cd",19642.3442791684,11691.6637312729,14292.6868092963
"23","Comorbidities","copd","copd",94345.4413287435,90488.4927909458,105742.550506465
"24","Comorbidities","diab_nc","diab_nc",45750.5008083861,34008.7087002345,28869.9461532216
"25","Comorbidities","mi","mi",11314.2097210453,10014.662717399,2175.73777915796
"26","Comorbidities","pud","pud",2512.16858642281,227.935031469875,0
"27","Comorbidities","pvd","pvd",39956.7753600832,35164.1570495847,33146.533374474
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",16.5122497945943,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",8821.06608790851,9008.49205099881,1663.57333972291
"34","Medication","ppi","ppi_mean",4464.54656926996,4565.97523778078,93.1450806987687
"35","Medication","ppi","ppi_max",7064.22474984101,5600.20959640656,0
"36","Medication","ppi","ppi_maxdiff",3592.35836351487,383.201926671005,0
"37","Medication","ppi","ppi_tv",1705.77140295173,181.699654141595,1570.68555588224
"38","Lab","a1c","a1c_mean",5486.64026671866,289.539685809112,1485.67673187901
"39","Lab","a1c","a1c_max",968.156385886356,1235.76259120934,980.707213913494
"40","Lab","a1c","a1c_min",6505.54154651453,5675.53453805957,439.680292607591
"41","Lab","a1c","a1c_maxdiff",1873.00476798398,692.593986454973,147.483103553162
"42","Lab","a1c","a1c_mindiff",2742.85856754857,836.149372801752,466.981418288316
"43","Lab","a1c","a1c_tv",6794.5501936158,2245.34793207163,3813.2078193957
"44","Lab","bun","bun_mean",16690.1281583952,16913.5886274116,12417.8438810915
"45","Lab","bun","bun_max",12016.1972647595,10276.0792487894,3165.47725360039
"46","Lab","bun","bun_min",29080.1872041691,29788.6671361013,21793.4178207876
"47","Lab","bun","bun_maxdiff",7204.72274128864,6001.28740252272,11385.9363589378
"48","Lab","bun","bun_mindiff",17036.7860188354,9738.24699053072,20754.1287291704
"49","Lab","bun","bun_tv",16117.326640017,6316.86098702362,10863.7622737633
"50","Lab","calc","calc_mean",8462.38169949371,5429.63306609088,3920.7287630812
"51","Lab","calc","calc_max",9351.96776717298,5793.77477946557,4741.96194285661
"52","Lab","calc","calc_min",12284.6848342588,5153.61012139139,4044.86812509757
"53","Lab","calc","calc_maxdiff",12598.0619847503,9001.42441147472,1808.01203200575
"54","Lab","calc","calc_mindiff",6111.91409465197,3680.38233903372,6176.85897935166
"55","Lab","calc","calc_tv",4638.47623423177,2746.55319683499,3296.98705724777
"56","Lab","chlor","chlor_mean",5462.0953651659,6695.87329587094,2044.69657989971
"57","Lab","chlor","chlor_max",4726.75336822825,3739.21324990061,10012.0008457305
"58","Lab","chlor","chlor_min",7355.77246576849,8533.955656164,4173.04270864802
"59","Lab","chlor","chlor_maxdiff",9056.52618015516,8970.87969493557,10891.6888733801
"60","Lab","chlor","chlor_mindiff",7804.93621280259,7611.47687593093,1428.29833645394
"61","Lab","chlor","chlor_tv",9550.21859640496,11617.2277479586,9800.87999457702
"62","Lab","co2","co2_mean",25626.8132266644,24162.5766422166,18624.5302063809
"63","Lab","co2","co2_max",11181.8378148219,8127.68288734463,8557.85925943144
"64","Lab","co2","co2_min",21772.4676731446,24782.5088840759,3990.755408007
"65","Lab","co2","co2_maxdiff",18638.90168124,21582.3903266848,1526.27268630383
"66","Lab","co2","co2_mindiff",9332.51319382554,9743.35579136726,1576.62062018448
"67","Lab","co2","co2_tv",21515.8771473048,30155.6692756152,2529.44931803374
"68","Lab","creat","creat_mean",14152.0740140991,9790.99162939059,6418.49429132374
"69","Lab","creat","creat_max",7249.10977518057,5722.71470934743,5132.28931570868
"70","Lab","creat","creat_min",9222.25432984837,6876.88156620407,10444.9726008315
"71","Lab","creat","creat_maxdiff",13060.6929624036,12487.5209284126,5085.39383341831
"72","Lab","creat","creat_mindiff",18118.1699392355,14837.8615785367,20020.6907477286
"73","Lab","creat","creat_tv",5808.84969311889,8446.90364468356,4747.67441580873
"74","Lab","gluc","gluc_mean",17278.3822778127,17793.67712803,9086.29718029648
"75","Lab","gluc","gluc_max",18357.2641007058,19695.3140307616,5221.53284909946
"76","Lab","gluc","gluc_min",6927.73531193579,2515.42332167218,11909.3851367052
"77","Lab","gluc","gluc_maxdiff",9986.13831427207,10080.3937235758,357.535896191825
"78","Lab","gluc","gluc_mindiff",8550.96878380952,10503.0520428163,2480.37995799001
"79","Lab","gluc","gluc_tv",8616.55146777367,8534.27827204074,1231.63317770866
"80","Lab","k","k_mean",14582.4058345289,11660.1239085923,22198.8983791127
"81","Lab","k","k_max",8208.64169993579,5374.95515708372,4773.33865081297
"82","Lab","k","k_min",12797.9791432867,10172.8562328555,11432.3224488203
"83","Lab","k","k_maxdiff",18717.0572853024,14698.2458793096,19779.1400417917
"84","Lab","k","k_mindiff",9790.45832260987,13022.5017430794,1920.78987571863
"85","Lab","k","k_tv",12674.2525520394,19906.8757447154,3383.29526806191
"86","Lab","na","na_mean",28328.4183934914,29396.6198746656,21154.5824389226
"87","Lab","na","na_max",12768.5969948083,13786.8579821039,1016.05508210858
"88","Lab","na","na_min",36556.7799284865,45722.5365737571,11979.6678786171
"89","Lab","na","na_maxdiff",30247.5846716739,16843.6503096686,18994.7578893249
"90","Lab","na","na_mindiff",14705.8779749582,8135.02819268382,35262.5043223505
"91","Lab","na","na_tv",23478.1740521834,9466.23214236717,26611.7042294628
"92","Lab","baso","baso_mean",4106.11688039917,2537.79326590089,966.960964128233
"93","Lab","baso","baso_max",15975.5716742213,13053.5843078051,0
"94","Lab","baso","baso_min",3402.55336918392,500.47663849427,0
"95","Lab","baso","baso_maxdiff",1835.11407014533,3154.06923466147,210.617027499302
"96","Lab","baso","baso_mindiff",3710.51345965949,1482.29926168905,0
"97","Lab","baso","baso_tv",7978.18596116713,1992.37276542778,0
"98","Lab","eos","eos_mean",9038.51026328029,6843.57516289078,12067.7788086589
"99","Lab","eos","eos_max",4339.82138538378,7494.29907960771,382.901477321808
"100","Lab","eos","eos_min",3255.47835491881,1739.79651727585,2849.35634356817
"101","Lab","eos","eos_maxdiff",1224.00133411391,4367.88606410193,2014.88725656949
"102","Lab","eos","eos_mindiff",7021.20287641453,3161.40575191045,0
"103","Lab","eos","eos_tv",3345.20207360111,944.731890140461,0
"104","Lab","hct","hct_mean",14717.6809772608,11441.0183278129,17258.9709646569
"105","Lab","hct","hct_max",15898.960679298,21643.2622858688,7456.1379066976
"106","Lab","hct","hct_min",7615.84074379664,6526.91078505107,3436.5862468272
"107","Lab","hct","hct_maxdiff",12573.5674674708,2447.51150983207,2275.38893136598
"108","Lab","hct","hct_mindiff",6628.37607730891,3283.6052021216,3159.35755706343
"109","Lab","hct","hct_tv",37060.7164494516,40687.5960580027,1822.12143811333
"110","Lab","lymph","lymph_mean",10971.587681005,2887.38526964955,11597.7505498453
"111","Lab","lymph","lymph_max",7731.45363341013,7519.98517792082,12195.0341747507
"112","Lab","lymph","lymph_min",10210.1632172139,2913.75346990568,5206.93285976284
"113","Lab","lymph","lymph_maxdiff",1391.73449133423,3754.68621274398,386.647285500709
"114","Lab","lymph","lymph_mindiff",4458.64078106897,1502.22923703435,831.233490212559
"115","Lab","lymph","lymph_tv",5259.54886392948,693.502695623873,672.078648413211
"116","Lab","mch","mch_mean",14687.0602699728,10332.1747735092,16879.4097482096
"117","Lab","mch","mch_max",20785.7783074272,23548.593451913,6683.61452118283
"118","Lab","mch","mch_min",8925.97709370352,7115.16979681985,1233.54294463371
"119","Lab","mch","mch_maxdiff",10837.5814496203,8071.35670967162,3282.08319871758
"120","Lab","mch","mch_mindiff",8803.00076783545,8581.03521339707,2027.09903930075
"121","Lab","mch","mch_tv",34654.7017466844,48625.7106865123,7330.10641297675
"122","Lab","mchc","mchc_mean",9190.83756420998,8508.9337258645,6697.07755298739
"123","Lab","mchc","mchc_max",5341.3368278963,4408.93212571355,4948.23041123306
"124","Lab","mchc","mchc_min",9649.7755533814,8613.5735537379,1824.79127110809
"125","Lab","mchc","mchc_maxdiff",15943.3032274292,10271.4652308286,3166.81503772188
"126","Lab","mchc","mchc_mindiff",10013.9099713539,3113.69329469266,2634.57725623442
"127","Lab","mchc","mchc_tv",15423.8025060652,23994.0082902287,2819.86914308739
"128","Lab","mcv","mcv_mean",8287.50430994873,4086.75543153243,4636.92921067914
"129","Lab","mcv","mcv_max",8874.12470268795,7957.34447194725,9100.83155566249
