"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",0.11813165703252,0.128302115623876,0.0588011460864265
"2","Demographic","bmi_weight","bmi",0.0216654897168338,0.0169664829751659,0.00867038974489034
"3","Demographic","bmi_weight","weight",0.0335578692504792,0.032475139058446,0.0133095224914486
"4","Demographic","race","asian",0.00420789608336345,0.00411625482047326,0
"5","Demographic","race","black",0.118044625401422,0.155830716494992,0.0245044122503456
"6","Demographic","race","hawaiianpacific",0.00231468542828485,0.00200926965257648,0
"7","Demographic","race","indianalaskan",0.0017136630446001,0.000870310019119406,0
"8","Demographic","agentorange","agentorange",0.000747348476939069,0.000143073343003234,0.00241712730927109
"9","Demographic","age","age",0.946373486252112,0.930872857409488,0.780076827115453
"10","Demographic","smoke","smoke_current",0.0399262477932271,0.0359436554384512,0.0134073708042831
"11","Demographic","smoke","smoke_former",0.0173494487291048,0.0107018958896103,0.00122087602885993
"12","Comorbidities","gerd","gerd",0.0656140718843602,0.0752946862904541,0.0199088489409606
"13","Comorbidities","chf","chf",0.000211340698029162,0.000390134360706434,0.000307836956801402
"14","Comorbidities","ctd","ctd",0,0.00015289185378133,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",0.00961513288911083,0.00712502317663166,0.0090636704966586
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",0.00575860392330531,0.00290171973892924,0.00342681121526693
"19","Comorbidities","msld","msld",0,2.02695233647455e-05,0
"20","Comorbidities","para","para",0,0,0
"21","Comorbidities","rd","rd",0.00976632849930458,0.00720835466746877,0.00545402608535427
"22","Comorbidities","cd","cd",0.0112066012815098,0.0069503851179959,0.00989326807662495
"23","Comorbidities","copd","copd",0.0611363538623974,0.0559669297195505,0.0668532803533506
"24","Comorbidities","diab_nc","diab_nc",0.031336204230627,0.0230621034797654,0.0189330542870145
"25","Comorbidities","mi","mi",0.00672942267580118,0.00623033911539307,0.00159576864046161
"26","Comorbidities","pud","pud",0.00171896875770763,0.000154787254983512,0
"27","Comorbidities","pvd","pvd",0.0219330091463868,0.0208162148156343,0.0192579262619501
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",1.59257047506253e-05,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",0.00978289293388343,0.00778228575353285,0.000804538518121408
"34","Medication","ppi","ppi_mean",0.00365213689929104,0.00377691065601418,7.31863621825323e-05
"35","Medication","ppi","ppi_max",0.00644897723452404,0.00448749039373528,0
"36","Medication","ppi","ppi_maxdiff",0.00402144544705105,0.000300962424915015,0
"37","Medication","ppi","ppi_tv",0.00134910774259599,0.00018846679698956,0.00139669825217861
"38","Lab","a1c","a1c_mean",0.00441568758449193,0.000193531819039708,0.00106059281543625
"39","Lab","a1c","a1c_max",0.00105492790922546,0.0010261945130612,0.000812974471831112
"40","Lab","a1c","a1c_min",0.00651615504891635,0.00502960854956502,0.000315596310450346
"41","Lab","a1c","a1c_maxdiff",0.00118886014397154,0.000514186051980978,6.96135089388372e-05
