"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",21767.781514613,23752.4653428756,10556.972321881
"2","Demographic","bmi_weight","bmi",2499.35066963216,2065.89842585265,815.378230126604
"3","Demographic","bmi_weight","weight",2833.90516706364,2704.78036620384,1250.23311912581
"4","Demographic","race","asian",865.903353987844,858.783868928556,0
"5","Demographic","race","black",12475.6533934809,16921.8353965823,3311.94982192572
"6","Demographic","race","hawaiianpacific",348.638429684523,326.571585674508,0
"7","Demographic","race","indianalaskan",317.13302568733,169.864910789616,0
"8","Demographic","agentorange","agentorange",50.5747771925498,11.0752576014056,175.416161040783
"9","Demographic","age","age",265665.907447726,257173.282553762,218785.9884547
"10","Demographic","smoke","smoke_current",3554.41609824053,2882.3545401718,898.165324059315
"11","Demographic","smoke","smoke_former",1342.74256383603,901.889986773473,71.9303533323691
"12","Comorbidities","gerd","gerd",9125.59766067937,7662.30660241283,3014.44292818193
"13","Comorbidities","chf","chf",20.4087519386812,46.1738776619604,29.0561806560945
"14","Comorbidities","ctd","ctd",0,16.7491718688907,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",1297.53711121029,928.78412324813,608.867838882434
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",969.266333457192,435.985299007152,272.894131226931
"19","Comorbidities","msld","msld",0,0.85106058614565,0
"20","Comorbidities","para","para",0,0,0
"21","Comorbidities","rd","rd",1454.45525954382,1025.07246003282,445.707213299349
"22","Comorbidities","cd","cd",1659.50187181932,816.163225230463,861.267857351108
"23","Comorbidities","copd","copd",4880.84974713996,4576.20676638559,4595.42510904744
"24","Comorbidities","diab_nc","diab_nc",3033.94334873185,1976.24171785731,2341.26520142658
"25","Comorbidities","mi","mi",1128.01881683766,916.52524111385,97.3943078089505
"26","Comorbidities","pud","pud",289.155440786126,13.2389686060924,0
"27","Comorbidities","pvd","pvd",2077.39994485304,1806.09102831548,1456.76809102809
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",1.63960884500125,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",959.747698956851,847.617544748369,91.3536825885967
"34","Medication","ppi","ppi_mean",493.230433651379,449.093614629455,4.46446818010736
"35","Medication","ppi","ppi_max",585.237167224175,507.331818892299,0
"36","Medication","ppi","ppi_maxdiff",382.351827426275,29.3363256641842,0
"37","Medication","ppi","ppi_tv",174.624053724461,17.379048975361,101.05120701305
"38","Lab","a1c","a1c_mean",497.021739951148,22.6359895368951,109.326284600684
"39","Lab","a1c","a1c_max",110.915300012242,89.8676152834014,84.3697952186922
"40","Lab","a1c","a1c_min",655.649158718843,526.787247973443,31.8857643346564
