"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",0.204561694653016,0.223811382290497,0.0970375924351066
"2","Demographic","bmi_weight","bmi",0.0204511967467356,0.0159112260743079,0.00769865112264
"3","Demographic","bmi_weight","weight",0.0282329149132813,0.0267744648767404,0.0109035565638394
"4","Demographic","race","asian",0.00702158373606275,0.00686345755898743,0
"5","Demographic","race","black",0.105909444264583,0.144246371698286,0.0281430815069145
"6","Demographic","race","hawaiianpacific",0.00253212712629274,0.00222310635572096,0
"7","Demographic","race","indianalaskan",0.00216624971417335,0.00115123529569046,0
"8","Demographic","agentorange","agentorange",0.000401854163903017,6.80199493393593e-05,0.000971208862173007
"9","Demographic","age","age",0.844930542188585,0.738961593946517,0.582585988689661
"10","Demographic","smoke","smoke_current",0.035544040061764,0.0285277794275223,0.0088370076829521
"11","Demographic","smoke","smoke_former",0.0118417102461452,0.00562021290926568,0.000666977577484213
"12","Comorbidities","gerd","gerd",0.0466910634606704,0.0408145812942646,0.0177343411505499
"13","Comorbidities","chf","chf",0.000128795264260989,0.00027667133078241,0.000213080375212667
"14","Comorbidities","ctd","ctd",0,0.000106372042875228,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",0.00497099194179638,0.00399619041908823,0.00245542617135157
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",0.00458124064767668,0.00230340198397986,0.00133059843083145
"19","Comorbidities","msld","msld",0,4.36864202910328e-06,0
"20","Comorbidities","para","para",0,0,0
"21","Comorbidities","rd","rd",0.00542793020436038,0.00426462171311236,0.00213095009160694
"22","Comorbidities","cd","cd",0.00626498495087231,0.00319066119654752,0.00369959428612376
"23","Comorbidities","copd","copd",0.0205359645106271,0.0193737463871017,0.0184813376417384
"24","Comorbidities","diab_nc","diab_nc",0.0125252430013195,0.00852277043811046,0.0108601356331026
"25","Comorbidities","mi","mi",0.00422210240922141,0.00339440856942325,0.000409963794845389
"26","Comorbidities","pud","pud",0.00150331496704166,8.57912877973285e-05,0
"27","Comorbidities","pvd","pvd",0.00593315254978836,0.00524502605787013,0.0047126491662534
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",1.60287904073198e-05,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",0.00901449837573478,0.0074397633177774,0.000788243949265598
"34","Medication","ppi","ppi_mean",0.00330086913401285,0.00317545463533096,2.62195504115516e-05
