"","category","group","ANY","EAC","EGJAC"
"1","Comorbidities","cd",0.00205782611285968,0.0024376647471048,0.00544435989318976
"2","Comorbidities","chf",0.000176081704112151,0.000187327951477292,0.000357353607129908
"3","Comorbidities","copd",0.0264372432519375,0.0225531287817452,0.0271532104488664
"4","Comorbidities","ctd",9.93690171529991e-05,7.91617663237251e-05,0
"5","Comorbidities","diab_c",0.00317054423807674,0.0027400501997882,0.0024830547814228
"6","Comorbidities","diab_nc",0.00760864327990756,0.00649205817767296,0.00429293741107794
"7","Comorbidities","gerd",0.0170386022824213,0.0229549307712952,0.00388104858877122
"8","Comorbidities","mi",0.00279264697050784,0.0029655299207263,0.00174574288288789
"9","Comorbidities","mld",0.00133665165067029,0.00116941249669517,0.0022705073266482
"10","Comorbidities","pud",0.00076404315438421,0.000311104707724505,0.000611138759164936
"11","Comorbidities","pvd",0.00907709074639402,0.00909832694826305,0.0110877504456314
"12","Comorbidities","rd",0.00234375770207879,0.00178405271523323,0.00383173925038796
"13","Demographic","age",0.306757693231027,0.324528713429443,0.271275523824273
"14","Demographic","agentorange",0.00027901374255835,0.000138705528475029,0.00178394768469572
"15","Demographic","bmi_weight",0.0216930162565274,0.0181504299334099,0.0182142501528804
"16","Demographic","gender",0.031976005358253,0.0380269381376134,0.0194897253792051
"17","Demographic","race",0.0346799856086634,0.0492387094724413,0.00631203017327153
"18","Demographic","smoke",0.0117615470771862,0.0123815434685396,0.00412813540729092
"19","Lab","a1c",0.00589072253031016,0.00390693920461964,0.00358800416459679
"20","Lab","alkphos",0.017468403691571,0.0145015113866522,0.0233092130835127
"21","Lab","alt",0.0208845078182068,0.017573922451669,0.0174673480100808
"22","Lab","ast",0.0158986970504179,0.0130948186552323,0.0169884627969611
"23","Lab","baso",0.00618810262948482,0.00522719210206804,0.00330402853835149
"24","Lab","bun",0.0278398716204233,0.0263945538858067,0.0350299668644753
"25","Lab","calc",0.0179929939774561,0.0122050639550438,0.0198677990573839
"26","Lab","chlor",0.0137885112484274,0.0149135904244393,0.0177799072379968
"27","Lab","co2",0.0249888313576597,0.0312421851986336,0.0166608616014952
"28","Lab","creat",0.019785190549588,0.0212657280651078,0.0248581683351854
"29","Lab","eos",0.0102806097585632,0.00776097521066512,0.00927166401689401
"30","Lab","gluc",0.0248649476214853,0.0248834129779558,0.0237874396016472
"31","Lab","hct",0.023442216517891,0.0199275785621815,0.0304965230158442
"32","Lab","hdl",0.0219685762987811,0.0178949945375038,0.0358858532210074
"33","Lab","k",0.0215262795085652,0.0215440019361455,0.0226301720431802
"34","Lab","ldl",0.0210050163694099,0.0194032129068934,0.0346681265443834
"35","Lab","lymph",0.00973375669351128,0.00575371305488164,0.0206493947890415
"36","Lab","mch",0.018010641052045,0.01824782313911,0.0154454540288122
"37","Lab","mchc",0.0169342084765433,0.0171639313347943,0.0190752700933659
"38","Lab","mcv",0.014145821863584,0.0142116347054663,0.0158203540321128
"39","Lab","mono",0.00984000808380287,0.00798780797202616,0.0109858236781689
"40","Lab","mpv",0.00920769059127469,0.00682448386215416,0.0248460920141236
"41","Lab","na",0.0387427554348022,0.0380968794554187,0.0415181999990637
"42","Lab","neut",0.0100461197389151,0.00865255206299438,0.00426307665386008
"43","Lab","platelet",0.0167833453763172,0.0168052703774947,0.0301523101355469
"44","Lab","totprot",0.0118214682574344,0.00941512588142746,0.0210636629232296
"45","Lab","trig",0.0161659919772744,0.0135064800563783,0.0199477154604795
"46","Lab","wbc",0.0474443218214781,0.0481631998761679,0.0540597142534566
"47","Medication","h2r",1.00926334233174e-06,0,0
"48","Medication","ppi",0.00725962143671623,0.00812624533830241,0.00206929551004911
"49","Comorbidities","msld",0,2.25509360090525e-05,0
"50","Lab","crp",0,4.48313327855303e-05,0
"51","Comorbidities","dem",0,0,0.000147642278898012
