"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",11575.784792291,12437.5229473934,6413.89271091856
"2","Demographic","bmi_weight","bmi",2432.22709797643,1905.3274033741,969.189756693231
"3","Demographic","bmi_weight","weight",3606.51419817336,3632.45778807972,1729.07154135829
"4","Demographic","race","asian",528.575476319413,547.802455545636,0
"5","Demographic","race","black",15900.4523410108,20621.944041675,3090.84898025799
"6","Demographic","race","hawaiianpacific",333.679386446609,275.6974937427,0
"7","Demographic","race","indianalaskan",241.664114449202,120.424302753507,0
"8","Demographic","agentorange","agentorange",96.497252565794,20.1164095746681,350.04622318413
"9","Demographic","age","age",34591.174921437,35479.0455637775,30183.5820141768
"10","Demographic","smoke","smoke_current",4350.89528321514,3973.5518476371,1609.83504040375
"11","Demographic","smoke","smoke_former",1888.72320471733,1408.37514633356,137.940822495177
"12","Comorbidities","gerd","gerd",10602.5953749362,12348.9385519326,2568.74616291243
"13","Comorbidities","chf","chf",31.1615778472769,60.4712198454508,42.1814767873439
"14","Comorbidities","ctd","ctd",0,24.095698238667,0
"15","Comorbidities","dem","dem",0,0,0
"16","Comorbidities","diab_c","diab_c",1787.87734775071,1270.86422579887,1556.96356060624
"17","Comorbidities","hiv","hiv",0,0,0
"18","Comorbidities","mld","mld",1046.31345111001,487.001582746889,618.997487653658
"19","Comorbidities","msld","msld",0,3.24654798427082,0
"20","Comorbidities","para","para",0,0,0
"21","Comorbidities","rd","rd",1898.725214845,1319.3971216255,932.950181911234
"22","Comorbidities","cd","cd",2068.48333462702,1300.14693946847,1720.4243322488
"23","Comorbidities","copd","copd",10448.5341118649,9610.84380311705,11210.8050034819
"24","Comorbidities","diab_nc","diab_nc",5012.93403424602,3657.00384239201,2809.28286268297
"25","Comorbidities","mi","mi",1309.65339337842,1207.78967249021,271.560702458752
"26","Comorbidities","pud","pud",298.244954112306,24.6773671095507,0
"27","Comorbidities","pvd","pvd",4492.97502192389,4092.66613661498,3701.73851666518
"28","Medication","h2r","h2r_int",0,0,0
"29","Medication","h2r","h2r_mean",0,0,0
"30","Medication","h2r","h2r_max",0,0,0
"31","Medication","h2r","h2r_maxdiff",1.69267947944377,0,0
"32","Medication","h2r","h2r_tv",0,0,0
"33","Medication","ppi","ppi_int",1042.83493957658,893.079964824352,97.6434231390303
"34","Medication","ppi","ppi_mean",534.827781094535,552.17084968631,11.6895329141043
"35","Medication","ppi","ppi_max",738.345535795394,672.00723310912,0
"36","Medication","ppi","ppi_maxdiff",417.16018692056,33.5944793559684,0
"37","Medication","ppi","ppi_tv",178.982917060108,19.5205555015336,157.266384707887
"38","Lab","a1c","a1c_mean",472.911206934554,22.9601808282132,154.811575087049
"39","Lab","a1c","a1c_max",104.320388416507,113.120681659551,97.90069278187
"40","Lab","a1c","a1c_min",681.809523559099,562.571923371132,36.2981954393108
"41","Lab","a1c","a1c_maxdiff",123.306313717233,61.5314206772055,9.4842201920319
"42","Lab","a1c","a1c_mindiff",152.049053482169,82.7790579537577,26.6122660709989
"43","Lab","a1c","a1c_tv",587.104135494496,228.180248605076,38.3875021298736
"44","Lab","bun","bun_mean",2198.69338869363,2075.85194193792,1529.57083372326
"45","Lab","bun","bun_max",1562.74357465247,1192.6713251874,295.716901250889
"46","Lab","bun","bun_min",3714.36622025885,3490.17850950993,2670.99597103766
"47","Lab","bun","bun_maxdiff",550.952847476736,569.701978377474,1141.59770998811
"48","Lab","bun","bun_mindiff",1495.60835622617,886.207530446301,2024.17041992265
"49","Lab","bun","bun_tv",538.215802694183,274.431962816092,511.430532569088
"50","Lab","calc","calc_mean",813.572501035054,521.575539103222,460.201239986214
"51","Lab","calc","calc_max",915.65185076341,527.304986680378,518.576487967322
"52","Lab","calc","calc_min",1111.5874743581,498.061117039466,382.53774968598
"53","Lab","calc","calc_maxdiff",373.369050834226,347.072718906926,201.769425872808
"54","Lab","calc","calc_mindiff",446.895924223096,211.715350883911,652.87622139306
"55","Lab","calc","calc_tv",321.404698893679,237.84065660271,411.691205163883
"56","Lab","chlor","chlor_mean",584.839376720893,650.613312436324,210.160604321577
"57","Lab","chlor","chlor_max",530.507041784871,267.233487835229,968.473829842544
"58","Lab","chlor","chlor_min",780.392897273041,820.588785277454,428.817458820828
"59","Lab","chlor","chlor_maxdiff",797.729270072912,747.518117116058,929.79871696778
