"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.11575784792291,0.124375229473934,0.0641389271091856
"2","Demographic","bmi_weight",0.0511115149505224,0.0484706583823141,0.0235747601284073
"3","Demographic","race",0.164304920267643,0.21004980860812,0.0309084898025799
"4","Demographic","agentorange",0.00096497252565794,0.000201164095746681,0.0035004622318413
"5","Demographic","age",0.34591174921437,0.354790455637775,0.301835820141768
"6","Demographic","smoke",0.0540060927424392,0.0508099274197403,0.0165868735395693
"7","Comorbidities","gerd",0.106025953749362,0.123489385519326,0.0256874616291243
"8","Comorbidities","chf",0.000311615778472769,0.000604712198454508,0.000421814767873439
"9","Comorbidities","ctd",0,0.00024095698238667,0
"10","Comorbidities","dem",0,0,0
"11","Comorbidities","diab_c",0.0178787734775071,0.0127086422579887,0.0155696356060624
"12","Comorbidities","hiv",0,0,0
"13","Comorbidities","mld",0.0104631345111001,0.00487001582746889,0.00618997487653658
"14","Comorbidities","msld",0,3.24654798427082e-05,0
"15","Comorbidities","para",0,0,0
"16","Comorbidities","rd",0.01898725214845,0.013193971216255,0.00932950181911234
"17","Comorbidities","cd",0.0206848333462702,0.0130014693946847,0.017204243322488
"18","Comorbidities","copd",0.104485341118649,0.0961084380311705,0.112108050034819
"19","Comorbidities","diab_nc",0.0501293403424602,0.0365700384239201,0.0280928286268297
"20","Comorbidities","mi",0.0130965339337842,0.0120778967249021,0.00271560702458752
"21","Comorbidities","pud",0.00298244954112306,0.000246773671095507,0
"22","Comorbidities","pvd",0.0449297502192389,0.0409266613661498,0.0370173851666518
"23","Medication","h2r",1.69267947944377e-05,0,0
"24","Medication","ppi",0.0171539541554015,0.0148902928012885,0.00208202524277673
"25","Lab","a1c",0.0114037194156269,0.00674659987226274,0.0021316409566038
"26","Lab","bun",0.0650083230143984,0.0582803033454004,0.0489470722540434
"27","Lab","calc",0.0227866270629698,0.0138093764813813,0.0143501475513861
"28","Lab","chlor",0.0181666023292016,0.0198485190798815,0.0211235831074625
"29","Lab","co2",0.0562216388673903,0.0607847910313143,0.0263359435405486
"30","Lab","creat",0.0374340355169267,0.0393886738847798,0.0262721548891449
"31","Lab","gluc",0.0368470038275621,0.0393343202550156,0.0209225252918417
"32","Lab","k",0.0375317713200856,0.0317009041885038,0.0480449608246709
"33","Lab","na",0.0903335782649036,0.0821422386126497,0.0774498135899674
"34","Lab","baso",0.0185898605773493,0.0154023653139079,0.000852263682535304
"35","Lab","eos",0.0107708988217992,0.0110258760318774,0.0138323574274463
"36","Lab","hct",0.0352103906324264,0.0359525139977418,0.0241310618685939
"37","Lab","lymph",0.019421574812152,0.00688011647524965,0.0218503116250304
"38","Lab","mch",0.0320725531170979,0.0327205045787248,0.0169864555423638
"39","Lab","mchc",0.0281198787702338,0.0216693467388758,0.0123926218169493
"40","Lab","mcv",0.0155512554087339,0.0135335569308602,0.0152490977949728
"41","Lab","mono",0.0206815680824124,0.0110903899436685,0.010415945880014
"42","Lab","mpv",0.0247379190896252,0.00701037136340433,0.0540316027769954
"43","Lab","neut",0.0269828842481722,0.0280731712031061,0.00173578465166484
"44","Lab","platelet",0.0135865478579739,0.0135471655391775,0.0197066040953862
"45","Lab","wbc",0.114676975947594,0.110711084190083,0.129198586230937
"46","Lab","crp",0,9.037704880202e-05,0
"47","Lab","alkphos",0.0270308472193965,0.025443764968443,0.0168060874918699
"48","Lab","alt",0.0436703439461466,0.0370685247967677,0.0172515051897752
"49","Lab","ast",0.0201996993091142,0.0207764338633639,0.0107184625813112
"50","Lab","totprot",0.0344744838524435,0.0193203403643186,0.0538587594610898
"51","Lab","hdl",0.0418185801834125,0.0377565759222367,0.031712856606678
"52","Lab","ldl",0.0354032948983384,0.0344529765908143,0.0281518469994643
"53","Lab","trig",0.016767671024502,0.00977638934589382,0.0076172246994651
