"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","gender","gender",138494.00054161,155083.998953853,82650.9852611227
"2","Demographic","bmi_weight","bmi",10051.1421721332,13692.1504028825,20031.2504180559
"3","Demographic","bmi_weight","weight",47494.5889993923,48823.6285191535,44320.7777512111
"4","Demographic","race","asian",14011.5049437306,35198.6154567236,6004.51903025696
"5","Demographic","race","black",209950.391748216,247595.84211982,87634.8868808927
"6","Demographic","race","hawaiianpacific",1971.9060465391,660.607404701797,5459.6670535577
"7","Demographic","race","indianalaskan",17671.713953257,15469.0219415111,13825.4662020551
"8","Demographic","agentorange","agentorange",1664.74838730869,2293.41182744054,6869.93507721211
"9","Demographic","age","age",976761.940492342,973588.287948326,855186.562076608
"10","Demographic","smoke","smoke_current",87693.3856124962,77555.9433047477,64721.8486933872
"11","Demographic","smoke","smoke_former",97807.0821049078,90323.1512120792,67399.0296326843
"12","Comorbidities","gerd","gerd",101729.170274217,115277.888719963,22298.0059799023
"13","Comorbidities","chf","chf",7059.22796743105,773.827337023526,8336.55547897375
"14","Comorbidities","ctd","ctd",48347.7742633418,44463.9545575872,43811.2183524033
"15","Comorbidities","dem","dem",44693.1232297914,33471.3071871948,56243.8420179655
"16","Comorbidities","diab_c","diab_c",9244.00486723443,7824.33493387271,6686.29729262256
"17","Comorbidities","hiv","hiv",171429.158487765,180346.601037821,141409.841824877
"18","Comorbidities","mld","mld",6362.44807809152,2329.39178485671,4377.6299562469
"19","Comorbidities","msld","msld",19983.7819830086,16037.1367149269,32392.4170113603
"20","Comorbidities","para","para",60080.3653337585,66228.5446560839,19603.3264462313
"21","Comorbidities","rd","rd",6911.86542577397,1291.48326703251,4191.82765468625
"22","Comorbidities","cd","cd",18868.1265706655,12867.0044258418,15421.4429519962
"23","Comorbidities","copd","copd",74613.7415021942,69023.8662187168,82028.3927009888
"24","Comorbidities","diab_nc","diab_nc",35878.2195231098,29737.9116811806,16643.8208928075
"25","Comorbidities","mi","mi",6311.65891591551,7837.41397278577,338.524766366769
"26","Comorbidities","pud","pud",16232.8677281134,18468.6019663229,3386.29511374963
"27","Comorbidities","pvd","pvd",41734.8711616606,44849.4656105456,32408.9378006051
"28","Medication","h2r","h2r_int",8042.7198310482,7694.33156384331,2708.25895181877
"29","Medication","h2r","h2r_mean",22.1691843647427,0,0
"30","Medication","h2r","h2r_max",3299.99201029829,957.798272431101,1372.87457595333
"31","Medication","h2r","h2r_maxdiff",2111.19617777422,0,8660.33985564451
"32","Medication","h2r","h2r_tv",0,108.991667599097,0
"33","Medication","ppi","ppi_int",22867.4168556765,21067.1746112813,7235.00019423493
"34","Medication","ppi","ppi_mean",2727.28733377584,2696.01946018836,2004.92262681543
"35","Medication","ppi","ppi_max",15118.6592028223,15169.1932729526,317.782435815068
"36","Medication","ppi","ppi_maxdiff",4675.16653228253,1956.57025298431,601.000961747224
"37","Medication","ppi","ppi_tv",1884.79214069614,2991.02675133937,3826.32222355862
"38","Lab","a1c","a1c_mean",13276.6590629765,2822.94511058657,19097.322924826
"39","Lab","a1c","a1c_max",12214.1085799977,11251.3486579567,22838.6904533999
"40","Lab","a1c","a1c_min",9014.13152307476,14288.5769303964,5233.09430845343
"41","Lab","a1c","a1c_maxdiff",25303.7903492625,27045.1071959511,20342.144485434
"42","Lab","a1c","a1c_mindiff",36924.2198216885,31006.8094597295,36095.3018448532
"43","Lab","a1c","a1c_tv",21722.7764517004,17336.8701993283,31497.650040668
"44","Lab","bun","bun_mean",24552.0820880296,16775.4630497744,24470.6415047381
"45","Lab","bun","bun_max",11219.9873361785,16292.0330887504,7264.39481703569
"46","Lab","bun","bun_min",21240.9966149961,25279.8911007589,30909.7543460611
"47","Lab","bun","bun_maxdiff",12750.3610924825,11684.4629209744,11753.293056418
"48","Lab","bun","bun_mindiff",26782.6979371216,8587.58860097315,62826.1116004257
"49","Lab","bun","bun_tv",13834.3784797253,6273.4535641048,21377.4972782085
"50","Lab","calc","calc_mean",7273.66261445827,8703.23445743129,8614.2999155337
"51","Lab","calc","calc_max",10095.9345435379,9112.58312463769,25460.6377834969
"52","Lab","calc","calc_min",9445.74173850859,4358.04463198436,8430.61054155645
"53","Lab","calc","calc_maxdiff",16558.0194966507,12635.1545418096,38025.7954967047
"54","Lab","calc","calc_mindiff",15552.9665800535,14129.4782584901,18790.471223531
"55","Lab","calc","calc_tv",11390.1228413062,8332.08867612792,7667.68716812712
"56","Lab","chlor","chlor_mean",6809.1435223915,11457.0545158213,14329.1926091455
"57","Lab","chlor","chlor_max",8347.57754473124,16524.3889821102,7398.85701492249
"58","Lab","chlor","chlor_min",10330.0055153483,13032.2016757503,9861.80901010412
"59","Lab","chlor","chlor_maxdiff",32528.5572460887,46252.4047037482,8505.33741493691
"60","Lab","chlor","chlor_mindiff",5166.29224226371,6112.79537852491,9208.24992229131
"61","Lab","chlor","chlor_tv",4312.39859264195,5677.08392871654,9127.64246357136
"62","Lab","co2","co2_mean",27988.6789602621,32285.7333771383,23586.3139159
"63","Lab","co2","co2_max",13554.2304378279,9882.01759859003,28604.1054293308
"64","Lab","co2","co2_min",24352.8024880048,24443.9815532391,14909.2436370567
"65","Lab","co2","co2_maxdiff",26801.6971916622,38941.7746950608,30879.3936589258
"66","Lab","co2","co2_mindiff",5723.42621686421,10627.2911468924,10538.1750438433
"67","Lab","co2","co2_tv",5870.55099894418,5591.74232074053,13339.0354229893
"68","Lab","creat","creat_mean",7975.46687857433,9070.1881331411,7810.61025799158
"69","Lab","creat","creat_max",8242.66555600552,5614.71245547648,12334.7724164254
"70","Lab","creat","creat_min",7835.83040287544,4352.72421883217,12270.1401810512
"71","Lab","creat","creat_maxdiff",25649.8546413438,27964.1998917364,13998.3874952323
"72","Lab","creat","creat_mindiff",21451.0558492388,31164.617888268,13048.3118390824
"73","Lab","creat","creat_tv",29718.0326125389,21319.7584043232,45978.9114354708
"74","Lab","gluc","gluc_mean",23482.4943747698,19107.2654787166,14492.2513773778
"75","Lab","gluc","gluc_max",32547.829947588,43648.2877347156,22582.7676055827
"76","Lab","gluc","gluc_min",6991.02761661253,6565.43193452018,12640.8971203164
"77","Lab","gluc","gluc_maxdiff",13989.1871908692,11752.1466702254,17459.1068996347
"78","Lab","gluc","gluc_mindiff",49317.5994136553,35369.4682709465,75729.1272949139
"79","Lab","gluc","gluc_tv",13500.2107724615,9504.96619642622,21671.2759673102
"80","Lab","k","k_mean",12001.5410847713,8620.14768554405,24684.3120204684
"81","Lab","k","k_max",8602.79515211357,7888.60292795832,12705.2364823858
"82","Lab","k","k_min",10736.8370565168,12106.6227457736,15211.7211223748
"83","Lab","k","k_maxdiff",27848.4647881833,21803.0350818865,40522.6072444573
"84","Lab","k","k_mindiff",22750.6521979387,26254.4061359783,15009.0141848946
"85","Lab","k","k_tv",6484.76657731172,6826.93550969142,8880.82946859831
"86","Lab","na","na_mean",20485.7820132526,16351.9723336149,31262.6819858206
"87","Lab","na","na_max",15823.5719412853,21748.8341488678,9676.40751014259
"88","Lab","na","na_min",44343.6164689272,49575.9071445573,21796.9493985622
"89","Lab","na","na_maxdiff",18284.6728114987,11157.4463361885,42889.5096468051
"90","Lab","na","na_mindiff",10235.4399079462,15788.6075916511,11348.6069996998
"91","Lab","na","na_tv",26633.5402270861,35473.8610656966,4905.39469398124
"92","Lab","baso","baso_mean",5443.35618410372,6418.7789975189,2309.35903119139
"93","Lab","baso","baso_max",21378.6973417125,27429.9951675662,1961.91680138872
"94","Lab","baso","baso_min",7707.53632120067,10340.0088393787,6558.53246902531
"95","Lab","baso","baso_maxdiff",5658.64533302803,2444.54449646041,21531.9477015641
"96","Lab","baso","baso_mindiff",14760.3065335301,15465.381959823,5528.93977335791
"97","Lab","baso","baso_tv",16110.2008803391,19526.9540315796,11940.6799838511
"98","Lab","eos","eos_mean",15255.0880431467,16534.4554529778,26476.4262001066
"99","Lab","eos","eos_max",1552.7157683758,3752.58896645099,2644.26357879573
"100","Lab","eos","eos_min",4441.08513021523,2650.93249683148,14934.3369393787
"101","Lab","eos","eos_maxdiff",5784.29051775959,4928.54118611068,11356.516552755
"102","Lab","eos","eos_mindiff",16175.2633422869,11475.6734051962,33730.2861610107
"103","Lab","eos","eos_tv",7383.55707760161,9084.51319162869,5864.96321283953
"104","Lab","hct","hct_mean",16332.9327040508,10914.9627742526,25910.7090104158
"105","Lab","hct","hct_max",9087.56904425715,18654.1524773462,15185.1341305413
"106","Lab","hct","hct_min",9211.5724412811,12962.5457283955,10998.4353240442
"107","Lab","hct","hct_maxdiff",25256.6198172725,21641.1666265175,30386.0205179533
"108","Lab","hct","hct_mindiff",14735.8007729162,13989.6984714191,9293.20454502893
"109","Lab","hct","hct_tv",17060.2953629584,19162.2371457496,16841.5813659578
"110","Lab","lymph","lymph_mean",11570.6490805751,6466.39436645939,20838.5338217889
"111","Lab","lymph","lymph_max",21124.1222394453,17622.1902005486,27491.9737843303
"112","Lab","lymph","lymph_min",19726.0930257728,11127.2340032495,38337.5196706927
"113","Lab","lymph","lymph_maxdiff",29530.506002994,21172.5977456293,18185.453349637
"114","Lab","lymph","lymph_mindiff",10971.651691526,11540.4650166029,4777.07380485373
"115","Lab","lymph","lymph_tv",8877.25127504771,8462.60501053331,3279.95587062179
"116","Lab","mch","mch_mean",16609.4947540401,18319.4525249196,25604.6939982247
"117","Lab","mch","mch_max",15951.0180453157,17699.9400989547,11418.5814928371
"118","Lab","mch","mch_min",13025.3475390864,14833.8994750021,6969.86992527382
"119","Lab","mch","mch_maxdiff",4033.28315123779,4340.78660270113,13918.1752930833
"120","Lab","mch","mch_mindiff",28784.626540532,31351.0139320579,18952.9586000514
"121","Lab","mch","mch_tv",11592.1469536685,12977.665447015,13436.1722887799
"122","Lab","mchc","mchc_mean",10481.0301930787,9389.54412995284,21554.1100016799
"123","Lab","mchc","mchc_max",5040.94181723704,8220.93282416663,6338.92799996601
"124","Lab","mchc","mchc_min",5580.21837985138,10205.3153341916,6803.84282776091
"125","Lab","mchc","mchc_maxdiff",31764.9219479342,31728.9998528976,14934.5682815135
"126","Lab","mchc","mchc_mindiff",14978.2442377016,14363.0824599912,6297.10999743185
"127","Lab","mchc","mchc_tv",18693.7454080219,17899.9418077714,17291.7608875258
"128","Lab","mcv","mcv_mean",10377.8665181604,12548.3719568811,7837.67497312507
"129","Lab","mcv","mcv_max",13585.8267775614,10954.2735954777,5331.08946701953
"130","Lab","mcv","mcv_min",8707.84021846118,8429.60583319264,8422.6290273748
"131","Lab","mcv","mcv_maxdiff",30007.053938885,27284.9484795045,32399.9301534569
"132","Lab","mcv","mcv_mindiff",17767.6422428589,18361.8064558058,29125.2896452728
"133","Lab","mcv","mcv_tv",15694.7920319631,17984.8974669659,16166.965357814
"134","Lab","mono","mono_mean",10071.6261876978,7016.99080483415,6513.47176346896
"135","Lab","mono","mono_max",3752.81353432281,5572.85970315891,2010.58656793382
"136","Lab","mono","mono_min",25291.1070454623,12863.7121578324,33898.4276447401
"137","Lab","mono","mono_maxdiff",16608.133098897,16659.6055828612,4126.8437413374
"138","Lab","mono","mono_mindiff",4203.39407852723,9786.82033159972,21328.7062223461
"139","Lab","mono","mono_tv",12328.3444606106,18504.1179000719,6121.50706243514
"140","Lab","mpv","mpv_mean",14643.2222025656,6895.6160632308,46402.3041763948
"141","Lab","mpv","mpv_max",9276.7175632558,11659.0350884395,27112.57288159
"142","Lab","mpv","mpv_min",25535.9040727719,17545.5205206591,19013.900108487
"143","Lab","mpv","mpv_maxdiff",12382.4764740658,8972.12440114457,18231.2054296779
"144","Lab","mpv","mpv_mindiff",28397.5938715658,20423.5436696748,27397.2977293644
"145","Lab","mpv","mpv_tv",7553.74944538727,5106.18646513151,1464.42940259641
"146","Lab","neut","neut_mean",11857.2211332575,13532.811659763,3750.81485622584
"147","Lab","neut","neut_max",15807.9981712116,15227.0618916235,9810.08021071705
"148","Lab","neut","neut_min",7030.90281683304,6178.18688213492,3963.97536764034
"149","Lab","neut","neut_maxdiff",13257.3274591181,15891.561305207,1881.99455358065
"150","Lab","neut","neut_mindiff",24814.7837367019,19089.6267843966,19989.9114207743
"151","Lab","neut","neut_tv",18007.7684320082,11470.5641365124,11767.1751409426
"152","Lab","platelet","platelet_mean",6970.07386552145,6238.30421687198,27930.0353643488
"153","Lab","platelet","platelet_max",10981.3251997248,7330.75293925755,14900.5112370389
"154","Lab","platelet","platelet_min",8661.56480781777,20819.4536092888,7178.44163856697
"155","Lab","platelet","platelet_maxdiff",12367.1787858372,12504.5456243418,11995.28248525
"156","Lab","platelet","platelet_mindiff",25238.1297962799,17861.0101524262,39615.5324765925
"157","Lab","platelet","platelet_tv",11848.9214809742,16026.1843791566,8806.3063682629
"158","Lab","wbc","wbc_mean",28518.986658807,21528.9597120241,15885.6345440045
"159","Lab","wbc","wbc_max",64809.3019836089,64073.1934490726,88814.378276397
"160","Lab","wbc","wbc_min",29198.3574637869,35636.9463566732,49508.8738670427
"161","Lab","wbc","wbc_maxdiff",67468.5810306731,68505.8494189219,53335.492380203
"162","Lab","wbc","wbc_mindiff",59061.8314488132,63500.002199273,42193.8850502484
"163","Lab","wbc","wbc_tv",10383.4612794282,10082.1798294148,19258.6467253373
"164","Lab","crp","crp_mean",0,0,0
"165","Lab","crp","crp_max",0,0,0
"166","Lab","crp","crp_min",0,0,0
"167","Lab","crp","crp_maxdiff",0,0,0
"168","Lab","crp","crp_mindiff",0,0,0
"169","Lab","crp","crp_tv",1373.68265482934,0,0
"170","Lab","alkphos","alkphos_mean",12972.3727701685,14352.3404345417,8053.55499510406
"171","Lab","alkphos","alkphos_max",11411.2065883464,5862.40916301718,38794.1353596387
"172","Lab","alkphos","alkphos_min",37888.3707732926,50357.8177571799,26774.287896758
"173","Lab","alkphos","alkphos_maxdiff",30730.2992099825,36837.1717935297,9893.01515118021
"174","Lab","alkphos","alkphos_mindiff",29211.1656638337,25973.1742973641,14922.4912149202
"175","Lab","alkphos","alkphos_tv",14288.1514859025,14441.1811604368,9040.43764449678
"176","Lab","alt","alt_mean",7548.85386217263,10895.478161463,11729.9563393017
"177","Lab","alt","alt_max",18768.9170161977,23146.3454331169,20730.3525874531
"178","Lab","alt","alt_min",22173.4095263833,15347.8931005879,33456.1309313065
"179","Lab","alt","alt_maxdiff",25669.5696235296,27054.7308091876,8647.0293077147
"180","Lab","alt","alt_mindiff",13048.1451986635,14883.0253021677,10959.8692136516
"181","Lab","alt","alt_tv",31685.3821532561,21890.3250026254,35386.6389916975
"182","Lab","ast","ast_mean",16263.4996107049,20402.6031111297,14570.1038076257
"183","Lab","ast","ast_max",16176.3560156533,11549.0914108235,30323.561932363
"184","Lab","ast","ast_min",9864.42991331985,6687.73358533939,10076.6667773923
