"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.13849400054161,0.155083998953853,0.0826509852611227
"2","Demographic","bmi_weight",0.0528147399204215,0.058649986627389,0.0405816997938805
"3","Demographic","race",0.207486686073459,0.250124772115515,0.107883977988141
"4","Demographic","agentorange",0.00166474838730869,0.00229341182744054,0.00686993507721211
"5","Demographic","age",0.976761940492341,0.973588287948326,0.855186562076608
"6","Demographic","smoke",0.164879922378694,0.148305637283791,0.107787105544207
"7","Comorbidities","gerd",0.101729170274217,0.115277888719963,0.0222980059799023
"8","Comorbidities","chf",0.00705922796743105,0.000773827337023526,0.00833655547897375
"9","Comorbidities","ctd",0.0483477742633418,0.0444639545575872,0.0438112183524033
"10","Comorbidities","dem",0.0446931232297914,0.0334713071871948,0.0562438420179655
"11","Comorbidities","diab_c",0.00924400486723443,0.00782433493387271,0.00668629729262256
"12","Comorbidities","hiv",0.171429158487765,0.180346601037821,0.141409841824877
"13","Comorbidities","mld",0.00636244807809152,0.00232939178485671,0.0043776299562469
"14","Comorbidities","msld",0.0199837819830086,0.0160371367149269,0.0323924170113603
"15","Comorbidities","para",0.0600803653337585,0.0662285446560839,0.0196033264462313
"16","Comorbidities","rd",0.00691186542577397,0.00129148326703251,0.00419182765468625
"17","Comorbidities","cd",0.0188681265706655,0.0128670044258418,0.0154214429519962
"18","Comorbidities","copd",0.0746137415021942,0.0690238662187168,0.0820283927009888
"19","Comorbidities","diab_nc",0.0358782195231098,0.0297379116811806,0.0166438208928075
"20","Comorbidities","mi",0.00631165891591551,0.00783741397278577,0.000338524766366769
"21","Comorbidities","pud",0.0162328677281134,0.0184686019663229,0.00338629511374963
"22","Comorbidities","pvd",0.0417348711616606,0.0448494656105456,0.0324089378006051
"23","Medication","h2r",0.00986381411854233,0.0076785641768305,0.00977511154893441
"24","Medication","ppi",0.0320175182102611,0.0317377509638308,0.00811095699363361
"25","Lab","a1c",0.0483731152908382,0.0458930121074765,0.0583970436791983
"26","Lab","bun",0.0584062114548013,0.0503839941217361,0.082286258822299
"27","Lab","calc",0.0315901620875141,0.0263998535394873,0.0488737007882253
"28","Lab","chlor",0.0368857230696371,0.0496260387089845,0.0301237272446085
"29","Lab","co2",0.0547015302067003,0.0670722491344194,0.0524851947476087
"30","Lab","creat",0.0467214160250396,0.0501873718267744,0.0553800004735541
"31","Lab","gluc",0.0680594362861611,0.0684100638702718,0.0842474792097539
"32","Lab","k",0.0513280063376644,0.0465010961859593,0.0689352273037658
"33","Lab","na",0.0809453677317395,0.0881360862812,0.0763711318587754
"34","Lab","baso",0.0366549938988929,0.0455380518283532,0.0269319208855471
"35","Lab","eos",0.0323722784500712,0.0324936541998195,0.0477858843809518
"36","Lab","hct",0.0509579806977654,0.0533253942661069,0.0613259858409379
"37","Lab","lymph",0.0381232331595742,0.0307880386259899,0.0603558937502616
"38","Lab","mch",0.044610300275346,0.0456180592698664,0.050683128709019
"39","Lab","mchc",0.0457253873293092,0.049866510464305,0.0413932078727412
"40","Lab","mcv",0.047879321064996,0.0470984565413988,0.0492729900389347
"41","Lab","mono",0.042167067886971,0.0350648226606187,0.046822069568875
"42","Lab","mpv",0.048738346133518,0.0292795690137752,0.0821385676454164
"43","Lab","neut",0.0395632753408786,0.0354854939817323,0.0277200835834781
"44","Lab","platelet",0.0362769463974942,0.0375355844011222,0.0570493918460311
"45","Lab","wbc",0.10987454710416,0.111397073706016,0.119976415957759
"46","Lab","crp",0.00137368265482934,0,0
"47","Lab","alkphos",0.0618668248972757,0.0654542142741713,0.0499693690456584
"48","Lab","alt",0.0544028430209807,0.053813117637532,0.0564516966896852
"49","Lab","ast",0.0511234110672753,0.0596844752902837,0.0505475054117408
"50","Lab","totprot",0.0515078652955118,0.0409618759924728,0.064864317053424
"51","Lab","hdl",0.0531481471906068,0.0508846255630271,0.0672630155758788
"52","Lab","ldl",0.0481772097641189,0.0520263502418906,0.052932144295085
"53","Lab","trig",0.0441936081689618,0.0483624257469172,0.0401643815193206
