"","category","group","Feature","ANY","EAC","EGJAC"
"1","Demographic","age","age",0.20784810982557,0.198258704369519,0.13950409905343
"2","Comorbidities","hiv","hiv",0.0310066695779859,0.028342014451824,0.0137903101587996
"3","Demographic","race","black",0.0278941810440857,0.0342646534447617,0.00765991270273391
"4","Demographic","smoke","smoke_current",0.0236796959296842,0.0212578420837257,0.0173061569617271
"5","Demographic","gender","gender",0.0196368598558505,0.0210079570467509,0.00918762523592317
"6","Lab","wbc","wbc_max",0.0185647352487942,0.0175315554920496,0.0191312613947357
"7","Demographic","smoke","smoke_former",0.0157883212299245,0.0148889200039936,0.0103480287707272
"8","Comorbidities","copd","copd",0.010244370345712,0.00828719729512406,0.00964243663947366
"9","Comorbidities","gerd","gerd",0.00996897767458076,0.0121063478515832,0.00199584924349216
"10","Lab","gluc","gluc_mindiff",0.00995083543184407,0.00724970095475474,0.0119603122573293
"11","Demographic","bmi_weight","weight",0.00990712924605032,0.00928030180808308,0.0103786442646329
"12","Lab","wbc","wbc_mindiff",0.00940838283694729,0.0112772331366812,0.00794839383339684
"13","Lab","na","na_min",0.00913780556793261,0.0101693148328134,0.00335549278392028
"14","Lab","wbc","wbc_maxdiff",0.00841556191243091,0.00790270353813622,0.00795162006420379
"15","Lab","creat","creat_tv",0.00837476663305024,0.00602531028899079,0.00925568515836727
"16","Lab","gluc","gluc_max",0.00774516368517758,0.00931772668857446,0.00616514734534817
"17","Lab","trig","trig_tv",0.00687755802946426,0.00959875751838002,0.00480214686377023
"18","Lab","bun","bun_mindiff",0.0068137768664754,0.00333864913998313,0.0103561151116271
"19","Lab","ast","ast_tv",0.00655232256703489,0.00633404524340708,0.00513117645322358
"20","Comorbidities","para","para",0.00641350779160064,0.00828252281707811,0.00179708953029987
"21","Lab","hct","hct_maxdiff",0.00633483878665178,0.00542860839292023,0.00921331526456441
"22","Lab","alt","alt_tv",0.0062827910578146,0.00696243551094753,0.00806130033832827
